,Smiles,non-F Smiles,model_name,train_r^2,train_mse,train_mae,oos_r^2,oos_mse,oos_mae
33,O=C(Nc1ccccc1)[C@@H]1CC[C@H]1C(F)F,O=C(Nc1ccccc1)C1CCC1,42_O=C(Nc1ccccc1)[C@@H]1CC[C@H]1C(F)F_O=C(Nc1ccccc1)C1CCC1,0.896,0.033,0.139,0.152,0.0,0.017
34,O=C(Nc1ccccc1)[C@@H]1CC[C@H]1CF,O=C(Nc1ccccc1)C1CCC1,43_O=C(Nc1ccccc1)[C@@H]1CC[C@H]1CF_O=C(Nc1ccccc1)C1CCC1,0.911,0.028,0.131,0.967,0.0,0.011
35,O=C(Nc1ccccc1)[C@@H]1C[C@H]1C(F)(F)F,O=C(Nc1ccccc1)C1CC1,44_O=C(Nc1ccccc1)[C@@H]1C[C@H]1C(F)(F)F_O=C(Nc1ccccc1)C1CC1,0.64,0.111,0.266,0.839,0.045,0.181
36,O=C(Nc1ccccc1)[C@H]1C[C@H]1C(F)(F)F,O=C(Nc1ccccc1)C1CC1,45_O=C(Nc1ccccc1)[C@H]1C[C@H]1C(F)(F)F_O=C(Nc1ccccc1)C1CC1,-0.417,0.445,0.529,-10.634,0.116,0.274
37,O=C(Nc1ccccc1)[C@@H]1C[C@H]1C(F)F,O=C(Nc1ccccc1)C1CC1,46_O=C(Nc1ccccc1)[C@@H]1C[C@H]1C(F)F_O=C(Nc1ccccc1)C1CC1,0.756,0.077,0.222,0.791,0.007,0.081
38,O=C(Nc1ccccc1)[C@H]1C[C@H]1C(F)F,O=C(Nc1ccccc1)C1CC1,47_O=C(Nc1ccccc1)[C@H]1C[C@H]1C(F)F_O=C(Nc1ccccc1)C1CC1,0.723,0.087,0.225,0.913,0.004,0.049
39,O=C(Nc1ccccc1)[C@@H]1C[C@H]1CF,O=C(Nc1ccccc1)C1CC1,48_O=C(Nc1ccccc1)[C@@H]1C[C@H]1CF_O=C(Nc1ccccc1)C1CC1,-0.465,0.454,0.541,-0.449,0.232,0.473
40,O=C(Nc1ccccc1)C1CC12CC2,O=C(Nc1ccccc1)C1CC12CC2,52_O=C(Nc1ccccc1)C1CC12CC2_O=C(Nc1ccccc1)C1CC12CC2,0.669,0.103,0.244,0.0,0.0,0.0
41,O=C(Nc1ccccc1)C1C(F)(F)C12CC2,O=C(Nc1ccccc1)C1CC12CC2,53_O=C(Nc1ccccc1)C1C(F)(F)C12CC2_O=C(Nc1ccccc1)C1CC12CC2,0.596,0.126,0.271,-1.77,0.003,0.053
42,O=C(Nc1ccccc1)C1CC12CC2(F)F,O=C(Nc1ccccc1)C1CC12CC2,54_O=C(Nc1ccccc1)C1CC12CC2(F)F_O=C(Nc1ccccc1)C1CC12CC2,0.51,0.152,0.301,0.422,0.014,0.096
43,O=C(N[C@H]1C[C@@H]2[C@H](C1)C2(F)F)c1ccccc1,O=C(N[C@@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1,56_O=C(N[C@H]1C[C@@H]2[C@H](C1)C2(F)F)c1ccccc1_O=C(N[C@@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1,0.757,0.076,0.211,0.266,0.005,0.071
44,O=C(NC1CCC(F)(F)CC1)c1ccccc1,O=C(NC1CCCCC1)c1ccccc1,57_O=C(NC1CCC(F)(F)CC1)c1ccccc1_O=C(NC1CCCCC1)c1ccccc1,0.847,0.048,0.176,0.963,0.001,0.034
45,O=C(NC1CCCCC1)c1ccccc1,O=C(NC1CCCCC1)c1ccccc1,58_O=C(NC1CCCCC1)c1ccccc1_O=C(NC1CCCCC1)c1ccccc1,0.882,0.037,0.147,0.0,0.0,0.003
46,O=C(N[C@@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1,O=C(N[C@@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1,59_O=C(N[C@@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1_O=C(N[C@@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1,0.903,0.03,0.13,0.0,0.0,0.008
47,O=C(N[C@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1,O=C(N[C@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1,60_O=C(N[C@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1_O=C(N[C@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1,0.869,0.041,0.155,0.0,0.0,0.001
48,O=C(c1ccccc1)N1CC2CC1(C(F)(F)F)C2,O=C(c1ccccc1)N1CC2CC1C2,61_O=C(c1ccccc1)N1CC2CC1(C(F)(F)F)C2_O=C(c1ccccc1)N1CC2CC1C2,0.912,0.027,0.13,0.999,0.0,0.007
49,O=C(c1ccccc1)N1CCCC1C(F)(F)F,O=C(c1ccccc1)N1CCCC1,62_O=C(c1ccccc1)N1CCCC1C(F)(F)F_O=C(c1ccccc1)N1CCCC1,0.888,0.035,0.138,0.999,0.0,0.013
50,O=C(c1ccccc1)N1CC2CC1C2,O=C(c1ccccc1)N1CC2CC1C2,63_O=C(c1ccccc1)N1CC2CC1C2_O=C(c1ccccc1)N1CC2CC1C2,0.894,0.033,0.138,0.0,0.0,0.0
51,O=C(c1ccccc1)N1CCCC1,O=C(c1ccccc1)N1CCCC1,64_O=C(c1ccccc1)N1CCCC1_O=C(c1ccccc1)N1CCCC1,0.941,0.018,0.102,0.0,0.0,0.001
52,CC12CC(CN1C(=O)c1ccccc1)C2,CC12CC(CN1C(=O)c1ccccc1)C2,65_CC12CC(CN1C(=O)c1ccccc1)C2_CC12CC(CN1C(=O)c1ccccc1)C2,0.695,0.095,0.244,0.0,0.0,0.0
53,O=C(c1ccccc1)N1CC2CCC1(C(F)(F)F)C2,O=C(c1ccccc1)N1CC2CCC1C2,66_O=C(c1ccccc1)N1CC2CCC1(C(F)(F)F)C2_O=C(c1ccccc1)N1CC2CCC1C2,0.758,0.076,0.208,0.963,0.003,0.043
54,O=C(c1ccccc1)N1CC2CCC1(C(F)(F)F)CC2,O=C(c1ccccc1)N1CC2CCC1CC2,67_O=C(c1ccccc1)N1CC2CCC1(C(F)(F)F)CC2_O=C(c1ccccc1)N1CC2CCC1CC2,0.908,0.029,0.133,0.999,0.0,0.008
55,O=C(c1ccccc1)N1CCCCC1C(F)(F)F,O=C(c1ccccc1)N1CCCCC1,68_O=C(c1ccccc1)N1CCCCC1C(F)(F)F_O=C(c1ccccc1)N1CCCCC1,0.626,0.116,0.254,0.981,0.006,0.078
56,O=C(c1ccccc1)N1CC2CCC1C2,O=C(c1ccccc1)N1CC2CCC1C2,69_O=C(c1ccccc1)N1CC2CCC1C2_O=C(c1ccccc1)N1CC2CCC1C2,0.792,0.065,0.193,0.0,0.012,0.109
57,CC12CCC(CC1)CN2C(=O)c1ccccc1,CC12CCC(CC1)CN2C(=O)c1ccccc1,70_CC12CCC(CC1)CN2C(=O)c1ccccc1_CC12CCC(CC1)CN2C(=O)c1ccccc1,-0.436,0.445,0.513,0.0,0.097,0.312
58,O=C(c1ccccc1)N1CC2CCC1CC2,O=C(c1ccccc1)N1CC2CCC1CC2,71_O=C(c1ccccc1)N1CC2CCC1CC2_O=C(c1ccccc1)N1CC2CCC1CC2,0.913,0.027,0.122,0.0,0.0,0.002
59,O=C(c1ccccc1)N1CCCCC1,O=C(c1ccccc1)N1CCCCC1,72_O=C(c1ccccc1)N1CCCCC1_O=C(c1ccccc1)N1CCCCC1,0.645,0.11,0.256,0.0,0.01,0.099
60,O=C(c1ccccc1)N1CC2CCCC1(C(F)(F)F)C2,O=C(c1ccccc1)N1CC2CCCC1C2,73_O=C(c1ccccc1)N1CC2CCCC1(C(F)(F)F)C2_O=C(c1ccccc1)N1CC2CCCC1C2,0.811,0.059,0.184,0.812,0.029,0.147
61,O=C(c1ccccc1)N1CC2CCCC1C2,O=C(c1ccccc1)N1CC2CCCC1C2,74_O=C(c1ccccc1)N1CC2CCCC1C2_O=C(c1ccccc1)N1CC2CCCC1C2,-0.376,0.43,0.487,0.0,0.001,0.035
62,CC12CCCC(CN1C(=O)c1ccccc1)C2,CC12CCCC(CN1C(=O)c1ccccc1)C2,75_CC12CCCC(CN1C(=O)c1ccccc1)C2_CC12CCCC(CN1C(=O)c1ccccc1)C2,0.903,0.03,0.14,0.0,0.0,0.019
63,O=C(c1ccccc1)N1CC2CC(C1)CC(F)(F)C2,O=C(c1ccccc1)N1CC2CCCC(C2)C1,76_O=C(c1ccccc1)N1CC2CC(C1)CC(F)(F)C2_O=C(c1ccccc1)N1CC2CCCC(C2)C1,0.888,0.035,0.144,0.757,0.036,0.185
64,O=C(c1ccccc1)N1CC2CC(F)(F)CC(C1)C2(F)F,O=C(c1ccccc1)N1CC2CCCC(C2)C1,77_O=C(c1ccccc1)N1CC2CC(F)(F)CC(C1)C2(F)F_O=C(c1ccccc1)N1CC2CCCC(C2)C1,0.908,0.029,0.124,0.994,0.0,0.018
65,O=C(c1ccccc1)N1CC2CCCC(C1)C2(F)F,O=C(c1ccccc1)N1CC2CCCC(C2)C1,78_O=C(c1ccccc1)N1CC2CCCC(C1)C2(F)F_O=C(c1ccccc1)N1CC2CCCC(C2)C1,0.884,0.036,0.152,-0.035,0.008,0.081
66,O=C(c1ccccc1)N1CC2COCC(C1)C2(F)F,O=C(c1ccccc1)N1CC2COCC(C2)C1,80_O=C(c1ccccc1)N1CC2COCC(C1)C2(F)F_O=C(c1ccccc1)N1CC2COCC(C2)C1,-0.374,0.415,0.5,-0.256,0.038,0.196
67,O=C(c1ccccc1)N1CC2COCC(C2)C1,O=C(c1ccccc1)N1CC2COCC(C2)C1,81_O=C(c1ccccc1)N1CC2COCC(C2)C1_O=C(c1ccccc1)N1CC2COCC(C2)C1,-0.368,0.416,0.497,0.0,0.0,0.021
68,O=C(c1ccccc1)N1CC2CCC(C1)C2(F)F,O=C(c1ccccc1)N1CC2CCC(C2)C1,84_O=C(c1ccccc1)N1CC2CCC(C1)C2(F)F_O=C(c1ccccc1)N1CC2CCC(C2)C1,0.736,0.083,0.233,-1.95,0.036,0.169
69,O=C(c1ccccc1)N1CC2CCC(C2)C1,O=C(c1ccccc1)N1CC2CCC(C2)C1,85_O=C(c1ccccc1)N1CC2CCC(C2)C1_O=C(c1ccccc1)N1CC2CCC(C2)C1,0.75,0.078,0.215,0.0,0.094,0.307
70,O=C(c1ccccc1)N1CCC1,O=C(c1ccccc1)N1CCC1,87_O=C(c1ccccc1)N1CCC1_O=C(c1ccccc1)N1CCC1,0.938,0.019,0.108,0.0,0.0,0.002
71,O=C(c1ccccc1)N1CC(F)C1,O=C(c1ccccc1)N1CCC1,88_O=C(c1ccccc1)N1CC(F)C1_O=C(c1ccccc1)N1CCC1,0.832,0.05,0.174,0.883,0.001,0.03
72,O=C(c1ccccc1)N1CCCC1,O=C(c1ccccc1)N1CCCC1,90_O=C(c1ccccc1)N1CCCC1_O=C(c1ccccc1)N1CCCC1,0.869,0.04,0.16,0.0,0.0,0.001
73,O=C(c1ccccc1)N1CCC(F)C1,O=C(c1ccccc1)N1CCCC1,91_O=C(c1ccccc1)N1CCC(F)C1_O=C(c1ccccc1)N1CCCC1,0.831,0.05,0.173,0.982,0.0,0.016
74,O=C(c1ccccc1)N1CCC(F)(F)C1,O=C(c1ccccc1)N1CCCC1,92_O=C(c1ccccc1)N1CCC(F)(F)C1_O=C(c1ccccc1)N1CCCC1,0.905,0.029,0.13,0.948,0.0,0.013
75,O=C(c1ccccc1)N1C[C@@H](F)[C@@H](F)C1,O=C(c1ccccc1)N1CCCC1,93_O=C(c1ccccc1)N1C[C@@H](F)[C@@H](F)C1_O=C(c1ccccc1)N1CCCC1,0.859,0.042,0.162,0.947,0.0,0.018
76,O=C(c1ccccc1)N1C[C@@H](F)[C@H](F)C1,O=C(c1ccccc1)N1CCCC1,94_O=C(c1ccccc1)N1C[C@@H](F)[C@H](F)C1_O=C(c1ccccc1)N1CCCC1,0.766,0.07,0.207,0.979,0.0,0.005
77,O=C(c1ccccc1)N1CCCC(F)C1,O=C(c1ccccc1)N1CCCCC1,95_O=C(c1ccccc1)N1CCCC(F)C1_O=C(c1ccccc1)N1CCCCC1,0.759,0.074,0.206,-3.364,0.016,0.124
78,O=C(c1ccccc1)N1CCCC(F)(F)C1,O=C(c1ccccc1)N1CCCCC1,96_O=C(c1ccccc1)N1CCCC(F)(F)C1_O=C(c1ccccc1)N1CCCCC1,0.828,0.053,0.179,-0.287,0.019,0.137
79,O=C(c1ccccc1)N1C[C@H](F)C[C@H](F)C1,O=C(c1ccccc1)N1CCCCC1,97_O=C(c1ccccc1)N1C[C@H](F)C[C@H](F)C1_O=C(c1ccccc1)N1CCCCC1,0.676,0.097,0.241,0.778,0.032,0.166
80,O=C(c1ccccc1)N1C[C@@H](F)C[C@H](F)C1,O=C(c1ccccc1)N1CCCCC1,98_O=C(c1ccccc1)N1C[C@@H](F)C[C@H](F)C1_O=C(c1ccccc1)N1CCCCC1,0.787,0.066,0.2,-98.692,0.035,0.187
81,O=C(c1ccccc1)N1CC[C@@H](F)[C@@H](F)C1,O=C(c1ccccc1)N1CCCCC1,100_O=C(c1ccccc1)N1CC[C@@H](F)[C@@H](F)C1_O=C(c1ccccc1)N1CCCCC1,0.765,0.072,0.208,-0.04,0.013,0.107
82,O=C(c1ccccc1)N1CC[C@@H](F)[C@H](F)C1,O=C(c1ccccc1)N1CCCCC1,101_O=C(c1ccccc1)N1CC[C@@H](F)[C@H](F)C1_O=C(c1ccccc1)N1CCCCC1,0.746,0.078,0.216,-0.035,0.004,0.06
83,O=C(NC1(C(F)(F)F)CCC1)c1ccccc1,O=C(NC1CCC1)c1ccccc1,102_O=C(NC1(C(F)(F)F)CCC1)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.739,0.082,0.228,0.999,0.0,0.008
84,O=C(NC1(CF)CCC1)c1ccccc1,O=C(NC1CCC1)c1ccccc1,104_O=C(NC1(CF)CCC1)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.925,0.023,0.122,0.99,0.0,0.004
85,O=C(N[C@H]1C[C@H](C(F)(F)F)C1)c1ccccc1,O=C(NC1CCC1)c1ccccc1,106_O=C(N[C@H]1C[C@H](C(F)(F)F)C1)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.91,0.028,0.132,0.977,0.004,0.05
86,O=C(N[C@H]1C[C@@H](C(F)(F)F)C1)c1ccccc1,O=C(NC1CCC1)c1ccccc1,107_O=C(N[C@H]1C[C@@H](C(F)(F)F)C1)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.927,0.023,0.117,1.0,0.0,0.005
87,O=C(N[C@H]1C[C@H](C(F)F)C1)c1ccccc1,O=C(NC1CCC1)c1ccccc1,108_O=C(N[C@H]1C[C@H](C(F)F)C1)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.857,0.045,0.172,0.871,0.0,0.004
88,O=C(N[C@H]1C[C@@H](C(F)F)C1)c1ccccc1,O=C(NC1CCC1)c1ccccc1,109_O=C(N[C@H]1C[C@@H](C(F)F)C1)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.882,0.037,0.144,0.934,0.0,0.003
89,O=C(N[C@H]1C[C@H](CF)C1)c1ccccc1,O=C(NC1CCC1)c1ccccc1,110_O=C(N[C@H]1C[C@H](CF)C1)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.922,0.024,0.132,0.934,0.0,0.021
90,O=C(N[C@H]1C[C@@H](CF)C1)c1ccccc1,O=C(NC1CCC1)c1ccccc1,111_O=C(N[C@H]1C[C@@H](CF)C1)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.93,0.022,0.12,0.999,0.0,0.003
91,O=C(c1ccccc1)N1CCCCC1C(F)(F)F,O=C(c1ccccc1)N1CCCCC1,112_O=C(c1ccccc1)N1CCCCC1C(F)(F)F_O=C(c1ccccc1)N1CCCCC1,0.901,0.031,0.132,0.862,0.046,0.212
92,O=C(c1ccccc1)N1CCCCC1C(F)F,O=C(c1ccccc1)N1CCCCC1,113_O=C(c1ccccc1)N1CCCCC1C(F)F_O=C(c1ccccc1)N1CCCCC1,0.712,0.09,0.232,0.882,0.011,0.1
93,O=C(c1ccccc1)N1CCCCC1CF,O=C(c1ccccc1)N1CCCCC1,114_O=C(c1ccccc1)N1CCCCC1CF_O=C(c1ccccc1)N1CCCCC1,0.781,0.068,0.206,0.776,0.019,0.129
94,O=C(c1ccccc1)N1CCCCC1,O=C(c1ccccc1)N1CCCCC1,115_O=C(c1ccccc1)N1CCCCC1_O=C(c1ccccc1)N1CCCCC1,0.624,0.116,0.261,0.0,0.002,0.039
95,O=C(c1ccccc1)N1CCCC1C(F)(F)F,O=C(c1ccccc1)N1CCCC1,116_O=C(c1ccccc1)N1CCCC1C(F)(F)F_O=C(c1ccccc1)N1CCCC1,0.684,0.097,0.241,0.999,0.0,0.009
96,O=C(c1ccccc1)N1CCCC1C(F)F,O=C(c1ccccc1)N1CCCC1,117_O=C(c1ccccc1)N1CCCC1C(F)F_O=C(c1ccccc1)N1CCCC1,0.903,0.03,0.133,0.966,0.003,0.049
97,O=C(c1ccccc1)N1CCCC1CF,O=C(c1ccccc1)N1CCCC1,118_O=C(c1ccccc1)N1CCCC1CF_O=C(c1ccccc1)N1CCCC1,0.9,0.031,0.137,0.827,0.01,0.079
98,O=C(c1ccccc1)N1CCCC1,O=C(c1ccccc1)N1CCCC1,119_O=C(c1ccccc1)N1CCCC1_O=C(c1ccccc1)N1CCCC1,0.931,0.021,0.115,0.0,0.0,0.001
99,O=C(c1ccccc1)N1CCC1C(F)(F)F,O=C(c1ccccc1)N1CCC1,120_O=C(c1ccccc1)N1CCC1C(F)(F)F_O=C(c1ccccc1)N1CCC1,0.854,0.045,0.157,0.968,0.003,0.052
100,O=C(c1ccccc1)N1CCC1C(F)F,O=C(c1ccccc1)N1CCC1,121_O=C(c1ccccc1)N1CCC1C(F)F_O=C(c1ccccc1)N1CCC1,0.751,0.076,0.21,0.99,0.0,0.016
101,O=C(c1ccccc1)N1CCC1CF,O=C(c1ccccc1)N1CCC1,122_O=C(c1ccccc1)N1CCC1CF_O=C(c1ccccc1)N1CCC1,0.52,0.146,0.298,0.971,0.0,0.02
102,O=C(c1ccccc1)N1CCC1,O=C(c1ccccc1)N1CCC1,123_O=C(c1ccccc1)N1CCC1_O=C(c1ccccc1)N1CCC1,0.862,0.042,0.156,0.0,0.001,0.025
