,Smiles,non-F Smiles,model_name,train_r^2,train_mse,train_mae,oos_r^2,oos_mse,oos_mae
129,CCC(F)(F)CNC(=O)c1ccccc1,CCCCNC(=O)c1ccccc1,159_CCC(F)(F)CNC(=O)c1ccccc1_CCCCNC(=O)c1ccccc1,0.659,0.107,0.257,0.957,0.0,0.02
130,CC(F)(F)CCNC(=O)c1ccccc1,CCCCNC(=O)c1ccccc1,160_CC(F)(F)CCNC(=O)c1ccccc1_CCCCNC(=O)c1ccccc1,0.847,0.048,0.167,0.641,0.016,0.126
131,O=C(NCCCC(F)F)c1ccccc1,CCCNC(=O)c1ccccc1,161_O=C(NCCCC(F)F)c1ccccc1_CCCNC(=O)c1ccccc1,0.825,0.055,0.185,0.979,0.0,0.003
132,O=C(NC1CC1)c1ccccc1,O=C(NC1CC1)c1ccccc1,162_O=C(NC1CC1)c1ccccc1_O=C(NC1CC1)c1ccccc1,0.753,0.076,0.211,0.0,0.008,0.087
133,O=C(NC1CCCC1)c1ccccc1,O=C(NC1CCCC1)c1ccccc1,163_O=C(NC1CCCC1)c1ccccc1_O=C(NC1CCCC1)c1ccccc1,0.867,0.041,0.154,0.0,0.0,0.004
134,O=C(NC1CCCCCC1)c1ccccc1,O=C(NC1CCCCCC1)c1ccccc1,164_O=C(NC1CCCCCC1)c1ccccc1_O=C(NC1CCCCCC1)c1ccccc1,0.685,0.097,0.239,0.0,0.0,0.005
135,CCCCNC(=O)c1ccccc1,CCCCNC(=O)c1ccccc1,165_CCCCNC(=O)c1ccccc1_CCCCNC(=O)c1ccccc1,0.749,0.078,0.223,0.0,0.012,0.108
136,O=C(NC1CC2(CCC2)C1)c1ccccc1,O=C(NC1CC2(CCC2)C1)c1ccccc1,166_O=C(NC1CC2(CCC2)C1)c1ccccc1_O=C(NC1CC2(CCC2)C1)c1ccccc1,0.851,0.045,0.163,0.0,0.008,0.09
137,O=C(NC1CC2(C1)CC(F)(F)C2)c1ccccc1,O=C(NC1CC2(CCC2)C1)c1ccccc1,168_O=C(NC1CC2(C1)CC(F)(F)C2)c1ccccc1_O=C(NC1CC2(CCC2)C1)c1ccccc1,0.918,0.025,0.126,0.645,0.047,0.213
138,O=C(N[C@@H]1CC[C@H]1C(F)(F)F)c1ccccc1,O=C(NC1CCC1)c1ccccc1,169_O=C(N[C@@H]1CC[C@H]1C(F)(F)F)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.884,0.036,0.143,0.996,0.0,0.019
139,O=C(N[C@@H]1C[C@H]1C(F)(F)F)c1ccccc1,O=C(NC1CC1)c1ccccc1,172_O=C(N[C@@H]1C[C@H]1C(F)(F)F)c1ccccc1_O=C(NC1CC1)c1ccccc1,0.698,0.094,0.23,-0.217,0.076,0.274
140,O=C(N[C@H]1C[C@H]1C(F)(F)F)c1ccccc1,O=C(NC1CC1)c1ccccc1,173_O=C(N[C@H]1C[C@H]1C(F)(F)F)c1ccccc1_O=C(NC1CC1)c1ccccc1,0.645,0.11,0.259,0.898,0.019,0.136
141,O=C(N[C@@H]1C[C@H]1C(F)F)c1ccccc1,O=C(NC1CC1)c1ccccc1,174_O=C(N[C@@H]1C[C@H]1C(F)F)c1ccccc1_O=C(NC1CC1)c1ccccc1,0.837,0.051,0.164,-0.769,0.054,0.178
142,O=C(N[C@H]1C[C@H]1C(F)F)c1ccccc1,O=C(NC1CC1)c1ccccc1,175_O=C(N[C@H]1C[C@H]1C(F)F)c1ccccc1_O=C(NC1CC1)c1ccccc1,-0.431,0.442,0.512,-29.462,0.037,0.184
143,C[C@@H]1C[C@H]1NC(=O)c1ccccc1,C[C@@H]1C[C@H]1NC(=O)c1ccccc1,176_C[C@@H]1C[C@H]1NC(=O)c1ccccc1_C[C@@H]1C[C@H]1NC(=O)c1ccccc1,0.884,0.036,0.162,0.0,0.0,0.0
144,C[C@@H]1C[C@@H]1NC(=O)c1ccccc1,C[C@@H]1C[C@@H]1NC(=O)c1ccccc1,177_C[C@@H]1C[C@@H]1NC(=O)c1ccccc1_C[C@@H]1C[C@@H]1NC(=O)c1ccccc1,0.78,0.069,0.201,0.0,0.001,0.027
145,O=C(NC1CC12CC2)c1ccccc1,O=C(NC1CC12CC2)c1ccccc1,180_O=C(NC1CC12CC2)c1ccccc1_O=C(NC1CC12CC2)c1ccccc1,0.848,0.047,0.176,0.0,0.0,0.001
146,O=C(NC1CC12CC2(F)F)c1ccccc1,O=C(NC1CC12CC2)c1ccccc1,182_O=C(NC1CC12CC2(F)F)c1ccccc1_O=C(NC1CC12CC2)c1ccccc1,0.836,0.052,0.17,0.959,0.0,0.004
147,O=C(NC1CCC1)c1ccccc1,O=C(NC1CCC1)c1ccccc1,105_O=C(NC1CCC1)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.863,0.043,0.168,0.0,0.0,0.001
148,O=C(Nc1ccccc1)C1CC1(F)F,O=C(Nc1ccccc1)C1CC1,16_O=C(Nc1ccccc1)C1CC1(F)F_O=C(Nc1ccccc1)C1CC1,-0.499,0.471,0.524,0.928,0.0,0.014
