,angle_R1X1R2,f_to_fg,f_atom_fraction,PPSA5,nARing,angle_R2X2R1,nFaHRing,distance_between_atoms_in_f_group_centers,nFARing,mol_num_cycles,f_freedom,identificator,mol_volume,nO,WPSA5,nFAHRing,dihedral_angle,RPCS,FPSA3,PNSA5,nAHRing,avg_atoms_in_cycle,angle_X1X2R2,nFaRing,naRing,nFHRing,nHRing,PBF,nFRing,TASA,dipole_moment,chirality,mol_weight,nN,tpsa+f,naHRing,nC,GeomShapeIndex,cis/trans,angle_X2X1R1,logP
37,157.24953292380826,2.0,0.4285714285714285,18.93493248210011,3,159.3481118738567,0,5.6948005556987376,1,4,0,0,219.99,2,8.48559559273305,1,0.0001615934953358,0.0,0.0291648245806242,-36.048065634441336,2,3.0,166.8315810161213,0,1,1,2,0.4093226484519686,1,397.7583747794454,0.2272600032943055,0,196.12,1,89.70385781793402,0,13,0.8953875458676485,0,162.84551687547935,2.05
38,156.79605444648095,2.0,0.2857142857142857,18.76807706967089,3,158.57979528167797,0,1.6188682194195272,1,4,1,0,214.34,2,8.256475924763627,1,1.1507742853185135e-05,33.89133960626531,0.0317991297179154,-30.433188095856373,2,3.0,166.12316569537833,0,1,1,2,0.4232140462358977,1,302.8787107612971,0.2102432406013549,0,178.13,1,71.69744453644351,0,13,0.9614461786083992,0,162.7055020851769,1.93
39,,0.0,0.0,17.660788895005794,3,,0,,1,4,1,0,186.82,2,6.96986969942145,1,,25.701330855820668,0.0345384370167808,-17.54101288704247,2,3.0,,0,1,1,2,0.429991073423503,1,337.74416994430226,0.5034164569000006,0,128.13,1,38.33,0,12,0.9539874245004532,0,,1.54
40,,0.0,0.0,17.434587971801154,0,,0,,0,2,1,0,184.63,1,6.991320346777683,0,,40.021194591699526,0.0392613652323854,-17.573461682097104,0,6.0,,0,2,0,0,0.0957121568969253,0,360.20503332713645,0.4774529597743909,0,122.12,1,29.1,0,13,0.906339698503716,0,,2.49
41,116.36132976083772,2.0,0.5,16.413188634470696,1,114.32989970181568,0,1.8219793082884803,0,2,0,0,204.23,1,6.936809677221722,0,96.49648608292644,0.5252229692099908,0.0253020626893941,-27.918059759942576,0,5.0,114.79989641365874,0,1,0,0,0.5504715912741219,0,389.2909116341421,0.1943204690785033,2,168.12,1,79.1394699175911,0,12,0.9087938312988504,1,117.41706270318718,2.88
42,116.2393990625636,2.0,0.3333333333333333,16.3682497558223,1,114.80138048129054,0,2.452497489393438,0,2,1,0,198.95,1,6.894385775581792,0,96.01465272354304,12.134165624982662,0.0298700884181259,-25.456676950920663,0,5.0,115.65964398782071,0,1,0,0,0.7015111872564055,0,305.0388138227126,0.5780823739990404,2,150.12,1,62.281619806427926,0,12,0.9152991718957344,2,117.4929107264839,2.22
43,117.21511549365697,2.0,0.1666666666666666,16.892747290687392,1,115.10527936997832,0,1.032945897323411,0,2,1,0,193.39,1,6.9660822803517775,0,96.86790321946678,18.438455579322984,0.035518685068512,-17.307661834057953,0,5.0,115.44038974382212,0,1,0,0,0.7420305735697262,0,345.6523305313949,0.6693705158815912,2,132.13,1,41.2237547653597,0,12,0.8272483341095788,2,118.18552585435737,2.11
44,136.73105589102647,2.0,0.6,16.019820974012315,1,138.77017534070905,0,4.009491316664875,0,2,0,0,189.7,1,6.616691333748955,0,136.2907165205502,0.6752336813052643,0.0253169834610731,-30.759039726229904,0,4.5,120.42129833254631,0,1,0,0,0.5680546505974253,0,369.28647724626313,0.7043809357351544,2,154.09,1,78.94673630414631,0,11,0.9497818254725564,2,118.55881206388317,2.98
45,91.70418871619223,2.0,0.6,18.22001004745886,1,93.26675782876384,0,1.044604857409117,0,2,0,0,189.54,1,7.469942148047182,0,2.5766943994986597,0.168808420326316,0.0309561104828719,-27.37084962400012,0,4.5,122.97913587301072,0,1,0,0,0.7035114236426173,0,384.1065108944276,0.8724145197805159,2,154.09,1,79.52574089725597,0,11,0.7727292913399274,1,119.87586477391947,2.12
46,136.1871265806597,2.0,0.4,16.04633217072569,1,138.22969979631557,0,1.54883123090151,0,2,1,0,184.99,1,6.536934991403146,0,135.4101781189867,11.670165284897086,0.0322293134497915,-27.785042687427016,0,4.5,120.1899155777992,0,1,0,0,0.4880658383493953,0,278.9189045362254,0.369322314154637,2,136.1,1,61.21032296695421,0,11,0.9634656322840098,2,118.28467511925764,2.28
47,90.34512950008,2.0,0.4,17.163233037383733,1,91.53240692044966,0,3.032622633050349,0,2,1,0,183.36,1,6.697250372297734,0,2.255595833895447,9.233537368270223,0.0339447822048716,-23.74487920284904,0,4.5,121.55268258690728,0,1,0,0,0.6452543117735957,0,288.9460669099542,0.6113773128366742,2,136.1,1,60.04773724816283,0,11,0.7947459539206406,1,119.28777834205157,2.35
48,137.9685112715461,2.0,0.2,15.84056728030555,1,137.39439691911687,0,0.9230230663738322,0,2,1,0,179.21,1,6.288094222616195,0,136.46488093070153,36.55762702329783,0.0340354742191171,-20.15255879670816,0,4.5,118.93574248667686,0,1,0,0,0.4001650804841252,0,308.3969502140603,0.4411720106241711,2,118.11,1,43.97276546302303,0,11,0.9729162680945568,2,119.48127281703258,1.12
49,,0.0,0.0,14.53061116757953,1,,0,,0,2,1,0,173.86,1,5.59063917017935,0,,29.26720500001305,0.0308059437298237,-14.895171730714436,0,4.5,,0,1,0,0,0.453418618019008,0,342.1575913984509,0.5018745933569979,2,100.12,1,29.1,0,11,0.9645061676963702,2,,2.42
50,,0.0,0.0,15.379494069079636,1,,0,,0,2,1,0,174.16,1,5.910605465284292,0,,23.599260369728828,0.0347971576221026,-13.494151916146333,0,4.5,,0,1,0,0,0.4701112131058212,0,355.78662170625324,0.4980554284231764,2,100.12,1,29.1,0,11,0.8258633703259562,1,,2.31
52,,0.0,0.0,16.582508027476816,2,,0,,0,3,1,0,182.92,1,6.703745430886514,0,,27.41659169161657,0.0348700529061498,-12.786148488621304,0,3.67,,0,1,0,0,0.6067776186063618,0,372.8520086544152,0.4998974170198433,0,112.13,1,29.1,0,12,0.8520650452575231,0,,2.35
53,119.00008317627189,2.0,0.3333333333333333,18.701494245385547,2,131.402359599268,0,2.639559181172333,0,3,0,0,193.42,1,7.856709705195578,0,74.44167710278985,10.534795077300512,0.0322444145073286,-24.35581569458142,0,3.67,146.21299752600888,0,1,0,0,0.5346718694001866,0,314.68114338742765,0.1591461066013208,0,148.11,1,61.24686814958336,0,12,0.8539530374628953,0,122.81247335190707,2.42
54,95.87550329740128,2.0,0.3333333333333333,15.726117726157716,2,112.11078681979023,0,0.9462433820032868,0,3,0,0,192.8,1,6.549459493366076,0,3.7812623087138006,13.255419491950402,0.0273311366120003,-27.43139812166125,0,3.67,136.8743977862929,0,1,0,0,0.6526390731172582,0,288.4028270347454,0.63745004989368,0,148.11,1,61.20804305234002,0,12,0.9465611821194968,0,105.35224496570136,2.66
55,128.97840749264788,2.0,0.3333333333333333,16.84533535649973,2,164.64619193155102,0,1.200667406092823,1,3,0,1,206.86,1,7.305759843250064,0,179.1602164744446,13.415551322026849,0.030615029557673,-24.621522480209958,0,4.0,147.72664412626102,0,1,0,0,0.4793491370063388,1,312.65724975397427,0.7629641182355811,3,133.14,1,63.69872695908264,0,13,0.9375040977891236,2,122.69717612785084,2.23
56,77.62632895668733,2.0,0.3333333333333333,16.662271343806477,2,106.66919557783066,0,1.553267648101961,1,3,0,1,207.34,1,7.300098838035053,0,2.2958466559623547,11.13743883338078,0.0309988299765817,-25.485827951012627,0,4.0,133.27366112811194,0,1,0,0,0.4539378908660415,1,313.62426048798767,0.3132040433412195,3,133.14,1,63.55225565168039,0,13,0.9632084672975652,1,87.15329472154954,2.47
57,110.72340232552908,2.0,0.3333333333333333,16.480026819852597,1,179.38295087909856,0,2.113486514905962,0,2,0,1,214.29,1,7.241067850895935,0,178.70516759609754,33.282577648744294,0.0298078767819824,-23.286109662954136,0,6.0,156.93161016928016,0,1,0,0,0.7039164243231276,0,330.4806995679532,0.6323578867098922,0,135.16,1,60.65795628428893,0,13,0.9309963436550176,0,105.81698539935672,2.31
58,,0.0,0.0,16.40646590937398,1,,0,,0,2,1,1,203.26,1,6.968083256740164,0,,28.143432551072696,0.0327797545922664,-12.44197500525422,0,6.0,,0,1,0,0,0.7087980923047984,0,385.1393969915789,0.4450662303702944,0,99.18,1,29.1,0,13,0.8756209008771929,0,,2.72
59,,0.0,0.0,15.888592603183106,2,,0,,1,3,1,1,196.22,1,6.62377406835739,0,,31.75630372867584,0.0328779986726052,-13.736444952042811,0,4.0,,0,1,0,0,0.4357298637476224,1,376.10618733580975,0.4389327059275356,3,97.16,1,29.1,0,13,0.9035219889818424,1,,2.3
60,,0.0,0.0,16.310561358512256,2,,0,,1,3,1,1,196.54,1,6.836573297831004,0,,31.75630372867584,0.0330284826653709,-13.307288510081438,0,4.0,,0,1,0,0,0.4761805653815703,1,378.7594319482711,0.4461173384046637,3,97.16,1,29.1,0,13,0.8731821965856591,2,,2.19
61,99.585829014565,3.0,0.5,17.5602746376936,3,102.04688679061384,0,1.2572050617090416,1,4,0,2,209.69,1,7.238439337934167,1,2.2001653585281598,0.0,0.0267156835479666,-22.45984446404343,2,3.0,120.83941293564096,0,1,1,2,0.4535721270961788,1,391.543893252076,1.024569424278263,0,151.13,1,70.65087417130039,0,13,0.8220228235189757,0,129.08995322780908,1.93
62,101.65850063289216,2.0,0.6,17.292004109268856,1,103.48984249432128,0,1.198593037507251,0,2,0,2,202.46,1,7.031908825573008,0,50.53267391068521,0.3334482103619106,0.0270644522037444,-24.332703544182607,1,5.5,116.423928279211,0,1,0,1,0.5958157463709893,0,378.2526070158896,0.8800699735886616,0,139.12,1,69.5180312120778,0,12,0.7964878737115648,0,124.88360455919818,2.12
63,,0.0,0.0,13.657808124128,3,,0,,1,4,1,2,177.94,1,5.179408933384411,1,,29.63550760049172,0.0335368848549053,-13.342916012536785,2,3.0,,0,1,1,2,0.3949130497943044,1,339.740187473928,0.5494406905166231,0,83.13,1,20.31,0,12,0.795170507539896,0,,1.47
64,,0.0,0.0,14.231520909635751,1,,0,,0,2,1,2,170.88,1,5.295375533562202,0,,30.413279848195486,0.0355932081831423,-12.77925136916378,1,5.5,,0,1,0,1,0.308923345573396,0,332.4453749173496,0.5268929569613229,0,71.12,1,20.31,0,11,0.7955084432431401,0,,1.19
65,,0.0,0.0,13.594935306919416,3,,0,,1,4,1,2,194.48,1,5.341968033977732,1,,24.50837282115097,0.0314415460206079,-12.147598276144947,2,3.0,,0,1,1,2,0.6081317577697422,1,357.8810905549529,0.5497944625022185,0,97.16,1,20.31,0,13,0.80785347094955,0,,1.75
66,98.35306402506409,3.0,0.4285714285714285,17.678976885742237,2,101.81462243699204,0,1.5334732236145583,1,3,0,2,223.63,1,7.5267008819737375,1,26.2626542586127,0.3413612446158254,0.0258418562123132,-21.182367540582288,1,4.33,119.16549501511172,0,1,1,1,0.6743244616567325,1,407.2431932955885,0.9682339874761297,0,165.16,1,69.56190503394797,0,14,0.808740412723883,0,126.78419556607282,2.2
67,93.00121821964768,3.0,0.375,18.162684702598305,3,99.9243339814062,0,1.62456152975622,1,4,0,2,238.95,1,8.010706413829869,1,4.326720196979196,0.0,0.0266438135508182,-19.810077188924865,2,3.5,118.71498208080553,0,1,1,2,0.6982848804449912,1,424.0654959477743,1.0074420564747153,0,179.19,1,66.71462629274744,0,15,0.8467508598637525,0,124.11203703336466,2.51
68,124.5001452534137,2.0,0.5,17.75720910257114,1,117.96718400882916,0,1.1850333626843257,0,2,0,2,217.22,1,7.562637082279614,0,104.567925534941,0.0,0.0267939432921555,-22.994162237533736,1,6.0,114.65860559603009,0,1,0,1,0.4859700924800365,0,406.7596581842382,0.7438794672233934,0,153.15,1,67.1086486590093,0,13,0.8365981817548114,0,122.59651693137396,2.54
69,,0.0,0.0,14.1169896745154,2,,0,,1,3,1,2,193.3,1,5.607268204311589,1,,26.90623306915004,0.0325345689150462,-12.342096921336903,1,4.33,,0,1,1,1,0.5852226871365523,1,360.2662181793649,0.5358218940664996,0,97.16,1,20.31,0,13,0.851490583760273,0,,1.65
70,,0.0,0.0,13.97335757309198,3,,0,,1,4,1,2,224.2,1,5.857389479392134,1,,15.199650935964977,0.0293257973910252,-10.85759307839296,2,3.5,,0,1,1,2,0.8640858568918462,1,387.3873810681476,0.4975929314903202,0,125.22,1,20.31,0,15,0.8835619749728306,0,,2.66
71,,0.0,0.0,14.644627760452677,3,,0,,1,4,1,2,208.7,1,6.033994158538865,1,,20.134594096559933,0.0315648481137976,-11.113570533999026,2,3.5,,0,1,1,2,0.6553920715031943,1,380.6161427050653,0.5245971629233473,0,111.19,1,20.31,0,14,0.8699817355643439,0,,2.01
72,,0.0,0.0,13.829488774449556,1,,0,,0,2,1,2,186.26,1,5.298127115369844,0,,19.44827660861744,0.032445438722891,-12.51279808167565,1,6.0,,0,1,0,1,0.5465622132527357,0,349.0517894364413,0.4966728419700285,0,85.15,1,20.31,0,12,0.7606330300458689,0,,1.39
73,99.3234254360596,2.0,0.375,17.93729585621476,2,101.8724494392184,0,1.764931725203945,1,3,0,2,240.46,1,7.945443432173064,1,40.13558221335193,0.3536079660415623,0.0245469809428201,-20.32992231012825,1,4.67,116.96171950314005,0,1,1,1,0.9727695798523828,1,424.6186952616653,0.9381924326071376,0,179.19,1,67.89356510869095,0,15,0.8555581244671074,0,125.58735134588292,2.67
