,f_freedom,PPSA5,mol_num_cycles,nFRing,nF,identificator,mol_weight,dipole_moment,nHRing,nO,PBF,nC,nARing,cis/trans,PNSA5,FPSA3,mol_volume,RPCS,GeomShapeIndex,WPSA5,TASA,f_to_fg,avg_atoms_in_cycle,nFHRing,chirality,fold_id,logP
0,1.0,0.4001005255153074,0.3333333333333333,0.0,0.0,0.0,0.5657569963497305,0.5950330211059686,0.0,0.0,0.3699884553380455,0.6666666666666665,0.3333333333333333,0.0,0.9448658597155266,0.42771255284165655,0.6872251539138086,0.6540945859069065,0.4512482511199307,0.455803580921351,0.8706944007520083,0.0,1.0,0.0,0.0,0,2.88
1,1.0,0.24004178842033408,0.6666666666666667,1.0,0.0,0.0,0.5482357031114201,0.5865896159862669,0.0,0.0,0.37354862021985435,0.6666666666666665,0.6666666666666666,1.0,0.8694103594504276,0.19742429706663933,0.5831134564643796,0.398908370571306,0.9672751596893248,0.30307151083986295,0.7986045530824519,0.0,0.33333333333333326,0.0,1.0,1,2.87
2,1.0,0.34607702761462145,0.6666666666666667,1.0,0.0,0.0,0.5482357031114201,0.592556181185809,0.0,0.0,0.6889976737148978,0.6666666666666665,0.6666666666666666,0.5,0.9081965924968161,0.391309772017864,0.5830035180299031,0.4834452438049602,-0.1035805140290682,0.3656225294159663,0.8375386731144467,0.0,0.33333333333333326,0.0,1.0,1,2.92
3,0.0,0.4682043657484116,0.6666666666666667,1.0,0.6666666666666666,0.0,0.860950808273944,0.577746135090593,0.0,0.0,0.5246341374959412,0.6666666666666665,0.6666666666666666,0.5,0.3512191861936529,0.2689566294571617,0.7083333333333335,0.268157030621653,0.618081824679984,0.5710189272826458,0.4386308649633688,1.0,0.33333333333333326,0.0,1.0,0,2.37
4,0.0,0.5326624672411673,0.6666666666666667,1.0,0.6666666666666666,0.0,0.860950808273944,0.46077338500768006,0.0,0.0,0.42006150299937695,0.6666666666666665,0.6666666666666666,1.0,0.3917519591199823,0.30190266721436876,0.736257695690413,0.3217884367459837,0.6185932706901722,0.597168563359245,0.4396840296204998,1.0,0.33333333333333326,0.0,1.0,0,2.88
5,1.0,0.1859747141430943,0.3333333333333333,0.0,0.0,0.0,0.321936381018599,0.6020385690149016,0.0,0.0,0.3571431732555006,0.33333333333333326,0.3333333333333333,0.0,0.8626313457229146,0.5329979356905943,0.26110378188214556,0.5212791343477,0.79881322688155,0.07543901349025806,0.6261045152392644,0.0,0.6666666666666665,0.0,0.0,0,2.26
6,1.0,0.44579685694076554,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6001998957065878,0.47275301200390085,0.0,0.0,0.31135370904710646,0.5,0.3333333333333333,0.0,0.6292945032200978,0.3505030095739565,0.561015831134565,0.5068227436159981,0.501675456247666,0.3720611982237201,0.584830412313889,0.5,0.6666666666666665,0.0,0.0,0,1.88
7,1.0,0.779435125639083,0.3333333333333333,0.0,0.6666666666666666,0.0,0.7565617938466888,0.27390164097134534,0.0,0.0,0.6565116048053451,0.5,0.3333333333333333,0.0,0.42305885964023093,0.19728454754018476,0.6350043975373789,0.2502954437922152,0.9170651932454215,0.6507613640959562,0.44408672849169406,0.5,0.6666666666666665,0.0,0.0,0,2.19
8,0.0,0.7704213281204626,0.3333333333333333,0.0,1.0,0.0,0.9129150008691119,0.6982108451503479,0.0,0.0,0.8509447067073742,0.5,0.3333333333333333,0.0,0.29086487321049903,-0.28443274755941217,0.7037159190853122,0.004158523586963487,0.33374842744068545,0.6695154522721554,0.9085753696155336,0.5,0.6666666666666665,0.0,0.0,0,2.51
9,0.0,0.636337293567971,0.3333333333333333,0.0,1.0,0.0,0.9129150008691119,0.2322245635560871,0.0,0.0,0.3934651053665009,0.5,0.3333333333333333,1.0,0.20699013495579144,0.10897177653678503,0.7110817941952505,0.020730319074770777,0.3727591063541986,0.681682450614276,0.9328546712206394,1.0,0.6666666666666665,0.0,0.0,1,3.02
