,nC,FPSA3,nFARing,RPCS,dipole_moment,angle_R1X1R2,nFAHRing,angle_X2X1R1,nFHRing,chirality,cis/trans,nHRing,TASA,angle_X1X2R2,nO,nF,PNSA5,dihedral_angle,f_to_fg,nARing,angle_R2X2R1,naRing,mol_volume,mol_weight,avg_atoms_in_cycle,mol_num_cycles,nN,nAHRing,PBF,nFRing,WPSA5,f_freedom,distance_between_atoms_in_f_group_centers,PPSA5,GeomShapeIndex,molecule_type,amine_type,fold_id,logP
1,13,0.033182947143795,0,27.282694912264283,0.5078535990288049,0.0,0,0.0,0,0,0,0,386.2170026031236,0.0,1,0,-11.645423016221184,0.0,0.0,1,0.0,1,202.14,128.17,6.0,2,1,0,0.4808303885503841,0,6.805737109070617,1,0.0,16.178954463003187,0.859999563218155,0,0,1,2.88
2,13,0.0296517445236834,1,16.638718018366784,0.5010310823904872,0.0,0,0.0,0,3,2,0,374.39293772710914,0.0,1,0,-13.22107907766412,0.0,0.0,2,0.0,1,195.82,126.16,4.0,3,1,0,0.4828520954348051,1,6.398578343043645,1,0.0,15.488152566630044,0.9582739106695084,0,0,0,2.87
3,13,0.0326247528294922,1,20.164803956033914,0.50585224041505,0.0,0,0.0,0,3,1,0,380.7788516391349,0.0,1,0,-12.411147886626113,0.0,0.0,2,0.0,1,195.58,126.16,4.0,3,1,0,0.6619857997173412,1,6.565329147400505,1,0.0,15.945792965693858,0.7543356260536737,0,0,1,2.92
4,13,0.0307486096621596,1,11.184997724580647,0.4938852929020028,103.61050262439656,0,111.87620414509158,0,3,1,0,315.3506123571293,138.26247289310174,1,2,-24.041908046522217,2.0464016225144363e-06,2.0,2,117.19209613828556,1,207.02,162.14,4.0,3,1,0,0.5686488606279326,1,7.112882414092715,0,4.245568406225269,16.47288569623169,0.8917720547342379,0,0,1,2.37
5,13,0.0312537988410824,1,13.42199726949678,0.3993679124901231,178.38904006428888,0,171.0495963794899,0,3,2,0,315.52335078887245,131.59326334524167,1,2,-23.19550574153344,172.1344503338609,2.0,2,134.6200472486615,1,206.1,162.14,4.0,3,1,0,0.5092653146118479,1,7.182593075064716,0,5.646542896886273,16.751082185570393,0.8918694566760227,0,0,0,2.88
6,11,0.0347973760625621,0,21.742879230255003,0.5135142852675479,0.0,0,0.0,0,0,0,0,346.099749372459,0.0,1,0,-13.36263793066799,0.0,0.0,1,0.0,1,171.81,100.12,5.0,2,1,0,0.4735359524552176,0,5.791747265071259,1,0.0,15.254802996841155,0.9261913075297316,0,0,0,2.26
7,12,0.0319990285780524,0,21.139894117148376,0.4090477991405749,0.0,0,0.0,0,0,0,0,339.3300350997094,0.0,1,1,-18.235160264438463,0.0,1.0,1,0.0,1,192.87,132.13,5.0,2,1,0,0.4475335401801365,0,6.58249358735881,1,0.0,16.376176513976084,0.8696031334882842,0,0,0,1.88
8,12,0.0296496016271978,0,10.439979749174524,0.2483701142269038,0.0,0,0.0,0,0,0,0,316.2454746213596,0.0,1,2,-22.541757407794844,0.0,1.0,1,0.0,1,198.14,150.12,5.0,2,1,0,0.6435379717816732,0,7.325462733049752,1,0.0,17.81613507483048,0.9487117122533276,0,0,0,2.19
9,12,0.0222630270540219,0,0.173454623770158,0.5912242784251608,0.0,0,0.0,0,0,0,0,392.43018029579554,0.0,1,3,-25.30222225492349,0.0,1.0,1,0.0,1,203.38,168.12,5.0,2,1,0,0.7539504817986086,0,7.375458070608578,0,0.0,17.77723217872871,0.8376223997292591,0,0,0,2.51
10,12,0.0282954279751068,0,0.8646745943733579,0.2146938248541984,169.4421852352424,0,143.01822160227374,0,0,2,0,396.41243364496336,113.8216038280216,1,3,-27.053688208613515,179.99993918470847,2.0,1,129.182435860883,1,203.88,168.12,5.0,2,1,0,0.4941620477744243,0,7.407893301981969,0,1.7031791658034563,17.198535213955942,0.8450517584510517,0,0,1,3.02
11,12,0.0242967882356882,0,0.5188047566240147,0.8473809353128332,132.56958498799258,0,146.1817450920472,0,0,1,0,388.8426415148809,146.72986203383056,1,3,-27.946857841591584,6.618749844120114e-05,2.0,1,132.59532826290342,1,204.39,168.12,5.0,2,1,0,0.4259355585954678,0,7.104608503432769,0,5.273238772689302,16.517448011277725,0.8820412346293967,0,0,1,2.72
12,12,0.0354019375741469,0,11.090286494010757,0.2663900871517844,169.81613504538947,0,143.36540578247286,0,0,2,0,313.0126332046233,113.94577024793278,1,2,-23.64943647600296,179.70720582668127,2.0,1,129.16466682169258,1,198.57,150.12,5.0,2,1,0,0.5770452970519552,0,7.129477019304094,1,5.055230833567594,16.97460069818347,0.7615593824177301,0,0,1,2.39
13,12,0.0356036581594652,0,11.354340934344345,0.5716602140643124,130.86964492771514,0,145.2579462466399,0,0,1,0,317.67049908245974,144.83596461814386,1,2,-22.589587616601133,6.7918052024127625e-06,2.0,1,130.331001217599,1,198.89,150.12,5.0,2,1,0,0.6978640012697866,0,7.488362115887142,1,5.219897288723282,17.754422439018153,0.7200972195360423,0,0,0,2.23
14,12,0.0370496197797817,0,25.85368115789393,0.3579609265782811,169.79160749833093,0,143.29593505104825,0,0,2,0,341.5017900775396,113.98158980361644,1,1,-17.286904910300787,179.99998154589412,2.0,1,129.23563326470713,1,193.21,132.13,5.0,2,1,0,0.6360348196849155,0,6.941409257755571,1,1.8039984622508465,16.82011773012949,0.7593300167015813,0,0,0,2.14
15,12,0.0360419988445948,0,26.47516387803562,0.7948984153856945,109.33238312364874,0,131.1630705155388,0,0,1,0,337.2904089208858,125.74403414914566,1,1,-17.838229845013615,1.3131215713015022e-05,2.0,1,105.72149852281362,1,194.26,132.13,5.0,2,1,0,0.5579520677080879,0,7.058125793299357,1,3.818519902589083,16.866718991875672,0.8215237924030663,0,0,0,1.96
18,11,0.0310250638753075,0,4.345586434353479,0.6166138522204985,150.33926952181153,0,145.47748314380135,0,0,0,0,279.89147082532264,162.08340164491457,1,2,-26.73332492796613,179.99998079372608,1.0,1,176.50597784524396,1,182.69,136.1,5.0,2,1,0,0.455781313231095,0,6.239905527862647,0,1.4815634351916789,15.673065118628568,0.9584364398926456,0,0,1,2.26
20,12,0.0301512920488097,0,0.0,0.3724919646025041,108.7745287104272,0,116.61326770094976,0,0,0,0,307.99766312898794,147.16615451387398,1,2,-24.33289574121703,12.155855482703776,2.0,1,123.53006248921083,1,197.58,150.12,5.5,2,1,0,0.486297521971699,0,6.658032029851789,0,3.0674227132642526,15.952977537968284,0.8534866286730589,0,0,1,2.5
24,14,0.025550679573839,0,0.0,0.6032148258350407,99.01870647463228,0,111.56070270996392,0,0,0,0,350.43195156113467,123.98255442394064,1,2,-22.043953249044648,2.0613654104193184,2.0,1,99.71393638377472,1,229.26,178.18,6.5,2,1,0,0.8142578068027774,0,7.21481352112393,0,3.194681424994396,16.08749460490176,0.968041201697476,0,0,0,3.03
25,14,0.0304795288395847,0,0.0,0.7861734779637657,127.27509114253854,0,124.69380934006212,0,0,0,0,354.9328361347001,151.40627319865175,1,2,-20.32776540553962,119.8927676794286,2.0,1,155.45131772372213,1,229.16,178.18,6.5,2,1,0,0.8058170498994124,0,7.54550351062429,0,1.0749109682400833,16.758054002843952,0.9285285996388408,0,0,1,2.95
26,11,0.0330661529823555,0,0.0,0.6576720390589873,0.0,0,0.0,0,0,0,0,325.0485220547848,0.0,1,2,-23.18844843053099,0.0,1.0,0,0.0,1,191.12,138.11,6.0,1,1,0,0.5518692304798849,0,7.240215505252285,0,0.0,17.58746701126204,0.7440600402571431,0,0,1,2.26
28,11,0.0371429251151406,0,13.751576928943855,0.6494016365414849,0.0,0,0.0,0,0,0,0,299.3729834286962,0.0,1,2,-25.33046957717484,0.0,1.0,0,0.0,1,191.59,138.11,6.0,1,1,0,0.2809318964127172,0,7.229524511875352,1,0.0,17.045028850976927,0.9643430018601568,0,0,0,2.06
