,RPCS,PBF,mol_weight,dipole_moment,PPSA5,avg_atoms_in_cycle,nHRing,cis/trans,dihedral_angle,FPSA3,distance_between_atoms_in_cycle_and_f_group,angle_X1X2R2,nF,angle_R1X1R2,chirality,sasa,PNSA5,GeomShapeIndex,TASA,angle_R2X2R1,mol_num_cycles,nN,f_freedom,nFRing,identificator,nO,distance_between_atoms_in_f_group_centers,angle_X2X1R1,nARing,nC,nFHRing,f_to_fg,fold_id,pKa
0,20.92354236027572,0.599067910401728,164.152,0.3645162106418635,14.226839517068862,6.0,0,0,177.37714121077377,0.0430794092975522,2.963011267929343,154.50490918336376,2,116.84824755409942,0,208.6024933835096,-28.942682930343423,0.9480105509355536,150.0873028897533,176.20738886616874,1,0,0,0,0,2,4.599733846007284,111.45370089207896,1,7,0,2.0,0,4.32
1,16.72072983778262,0.5807023453619089,128.171,0.2534125643889748,13.888097806258338,6.0,0,0,,0.0464530009514433,,,0,,0,201.3454738371182,-13.67650885498967,0.8478666217071501,201.0448698508611,,1,0,1,0,0,2,,,1,7,0,0.0,1,4.85
2,15.19776352121602,0.8125037251509408,126.155,0.2442372954813684,14.422664217950029,3.0,0,2,,0.0470225025317011,,,0,,3,187.7475649031842,-13.789063102038476,0.7124144704595539,196.99423106010576,,2,0,1,1,0,2,,,2,7,0,0.0,1,4.35
3,17.778515817271572,0.6311312957986083,126.155,0.2461165758213561,14.472009242508014,3.0,0,1,,0.0476128489000869,,,0,,3,188.0372063574526,-14.420449795431498,0.8294732222987803,195.3931004192692,,2,0,1,1,0,2,,,2,7,0,0.0,0,4.24
4,20.595645569371552,0.7964923245058986,162.136,0.5967806967162913,14.92007473347024,3.0,0,1,1.2099538459599175,0.0451859207676332,3.238285759974669,146.9910021500618,2,123.731738974727,3,194.4910172921216,-29.793930518103025,0.8004850388878918,137.36441803106385,131.7100546313876,2,0,0,1,0,2,4.940620340867167,130.16656374121976,2,7,0,2.0,0,3.8
5,21.43438226676678,0.6888651599721769,162.136,0.443854491125851,14.721238775781188,3.0,0,2,178.17350777968704,0.0450266280175609,2.9356504326607387,131.7711972123317,2,179.68239851077465,3,194.82664034097812,-30.891759065232336,0.8798207937895168,132.84022962466886,135.09594164283646,2,0,0,1,0,2,5.034450301975402,170.17754544345078,2,7,0,2.0,1,3.76
6,15.75301298750428,0.7016151882984124,100.117,0.2749376521952997,13.637049631458243,4.0,0,0,,0.051031935789697,,,0,,0,156.83635614764145,-17.451691745402464,0.6663346346635648,161.86023699331497,,1,0,1,0,0,2,,,1,5,0,0.0,0,4.5
7,9.852651933957173,0.7914635855727886,132.134,0.1472615628006759,14.533090158481006,4.0,0,0,,0.0464656204985072,,,1,,0,186.88996900471747,-23.565672771545703,0.7681413255079723,160.0972577919836,,1,0,1,0,0,2,,,1,6,0,1.0,1,3.66
8,7.774418116543112,0.8125898153874634,150.125,0.415680682637275,16.052588504511426,4.0,0,0,,0.0433798439352485,,,2,,0,189.36579316077783,-27.809313509685875,0.6778624096432074,139.05925564526103,,1,0,1,0,0,2,,,1,6,0,1.0,0,3.08
9,0.7873815420224571,0.7973793418068543,168.115,0.477586507613744,15.967207934441143,4.0,0,0,,0.03581643481686,,,3,,0,192.8037441349581,-30.412560021121227,0.767759046938773,212.04828115840883,,1,0,0,0,0,2,,,1,6,0,1.0,1,2.9
10,0.4716831759309227,0.6540065210074811,168.115,0.2545750695556818,14.005185797441891,4.0,0,2,179.99999765130556,0.0385267254074045,2.158739058965019,144.37707029135925,3,128.12171658843644,0,192.4250607739688,-35.97156180758108,0.6229457006751816,213.6383729604581,171.50375913827546,1,0,0,0,0,2,4.618240140018928,113.59315284211615,1,6,0,2.0,1,3.83
11,0.1572277253103075,0.658894080991424,168.115,0.395677214355561,14.741419717272937,4.0,0,1,1.2812404568082367e-05,0.0401965472906642,2.1491841933860214,146.5613396994849,3,133.02515276809766,0,192.71626476513256,-35.65114514201758,0.8575613232397992,212.6672017056574,132.68948883532207,1,0,0,0,0,2,4.700421053810111,146.7111289987638,1,6,0,2.0,1,3.88
