,RPCS,PBF,mol_weight,dipole_moment,PPSA5,avg_atoms_in_cycle,nHRing,cis/trans,FPSA3,nF,chirality,sasa,PNSA5,GeomShapeIndex,TASA,mol_num_cycles,f_freedom,nFRing,identificator,nO,nARing,nC,nFHRing,f_to_fg,fold_id,pKa
51,0.0057610164998856475,0.15718376276957602,0.6888978474304384,0.5711415215550051,0.5607747025508133,0.7142857142857142,0.5,0.0,-0.12159151394214462,1.0,0.5,0.5519775524588668,0.6666230475416324,0.6264572837403879,0.9068189219770093,0.3333333333333333,0.0,0.0,1.0,0.0,0.3333333333333333,0.49999999999999994,0.0,0.5,0,6.06
52,0.6832391875507356,0.033682967403037,0.11780762091931435,0.12160956094779207,0.09293251001490099,0.7142857142857142,0.5,0.0,0.4305207131455311,0.0,0.0,0.21361532302443065,1.0194217191377417,-0.018850002166781288,0.6115666579952321,0.3333333333333333,1.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1,11.29
53,0.001005158571102495,0.8192235168550213,0.9075814457406333,0.7965363339779619,0.5141486238552392,0.5,0.5,0.0,-0.3372757801563213,1.0,1.0,0.8008064539396207,0.734983316378714,0.6613377382071,0.9988122100140318,0.6666666666666666,0.0,1.0,1.0,0.0,0.6666666666666666,0.8333333333333333,1.0,0.75,0,6.23
54,0.0010624021814917258,1.2253822878427163,1.025389066659948,0.8484536171852484,0.5960615245416528,0.38095238095238093,1.0,0.0,-0.26084845151803093,1.0,0.0,0.9685371493326611,0.778916483359442,0.5026787076000394,1.0982739396906849,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,0,6.56
55,0.002035935261046013,0.18670273097823475,0.8067054683497525,0.8264332796415008,0.6865768090339891,0.8571428571428571,0.5,0.0,-0.17690836592080572,1.0,0.5,0.7458097838182236,0.7319767378295698,0.4624617142180438,1.041951098127969,0.3333333333333333,0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.5,1,6.41
56,0.5262102550375288,1.0333654120341176,0.3364912192295095,0.1559287873520519,0.032339432577843885,0.5,0.5,0.0,0.1828086984127475,0.0,1.0,0.47083968001318555,1.0081142548783033,0.262105418619659,0.711128568540452,0.6666666666666666,1.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666667,1.0,0.0,1,10.42
57,0.671348007344276,1.1064683581079897,0.5721064610681381,0.10454270354977058,0.13308667536839358,0.38095238095238093,1.0,0.0,0.128121996321382,0.0,0.0,0.8889207159439356,1.0308979556146853,0.4448387332873173,0.9863750659963193,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,11.27
58,0.7784316102825334,0.0702873483783828,0.23561524183862875,0.09013749453874575,0.17097940829518488,0.8571428571428571,0.5,0.0,0.42847712519770287,0.0,0.0,0.44078799123369006,1.041680104984676,0.05820799338089927,0.7564995274239599,0.3333333333333333,1.0,0.0,1.0,0.0,0.3333333333333333,0.49999999999999994,0.0,0.0,1,11.12
59,0.0010626056388764859,0.929142038849059,1.025389066659948,0.7386925248581366,0.628487711881014,0.5714285714285714,0.5,0.0,-0.2741245861035637,1.0,1.0,0.9962188456920549,0.7818615184871565,0.4854046514933615,1.1056691992452665,0.6666666666666666,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,0,5.96
60,0.8340826992315746,0.8841203968976437,0.45429884014882377,0.1368901968375888,0.1599689266927976,0.5714285714285714,0.5,0.0,0.34579734038940857,0.0,1.0,0.6655571421901196,1.045461714845337,0.20734693325540082,0.8927858141019873,0.6666666666666666,1.0,1.0,1.0,0.0,0.6666666666666666,0.8333333333333333,1.0,0.0,0,10.38
61,0.6497912778379196,1.133679363060273,0.5721064610681381,0.1295027427792685,0.12082658648974964,0.5714285714285714,0.5,0.0,0.09902648081712484,0.0,1.0,0.9120587256566273,1.0240239551564048,0.42379080255686913,0.9699390269478114,0.6666666666666666,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0,10.99
62,0.0,1.0934518256321561,0.8742976643402454,0.8897114434366338,0.4362362394737981,0.6428571428571428,0.5,0.0,0.15561771711324401,0.6666666666666666,1.0,0.8877158494684665,0.8798987540728138,0.41028624384887674,0.7106119008062686,0.6666666666666666,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0,9.41
63,0.0,1.2344094922985904,1.1764888676123526,0.326123305163806,0.4372428924202151,0.6428571428571428,0.5,0.0,-0.007069784652576683,1.3333333333333333,1.0,0.9931370067272232,0.35360607116638765,0.22295875888791467,0.4704166208099138,0.6666666666666666,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.5,0,6.37
64,0.0,1.0863918382782354,0.8742976643402454,0.4668338225076882,0.3604276141646533,0.6428571428571428,0.5,0.0,-0.000522517627218333,0.6666666666666666,1.0,0.9420651054996958,0.8077437261295262,0.2759220699668767,0.693853978141044,0.6666666666666666,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,0,7.72
65,0.6466745434549431,1.1506759743083157,0.5721064610681381,0.07921467811420874,0.21619283373323872,0.6428571428571428,0.5,0.0,0.20504203157893608,0.0,1.0,0.9045084422453371,1.041048115062326,0.18705542366324418,0.9262656542689853,0.6666666666666666,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,1,10.86
66,0.0,1.1802808640207554,0.8908597680297647,-0.08637508605738481,0.6129614213158855,0.6428571428571428,1.0,0.0,0.4801455593690469,0.6666666666666666,1.0,0.7579281296524658,0.5213356940438767,0.15149705397553964,0.5839305958057093,0.6666666666666666,0.0,1.0,1.0,0.5,0.6666666666666666,0.8333333333333333,1.0,0.5,0,8.05
67,1.32994607297637,0.9336143908885857,0.5886685647576575,0.7279923447714705,0.4089866835927566,0.6428571428571428,1.0,0.0,0.7752909745027621,0.0,1.0,0.7222966539294651,0.9888465170414833,0.38471854602261407,0.8420750223025908,0.6666666666666666,1.0,1.0,1.0,0.5,0.6666666666666666,0.8333333333333333,1.0,0.0,0,10.4
68,0.0,0.9683733723689565,0.7564900434209312,0.47129235146876486,0.3018617669780098,0.5714285714285714,0.5,0.0,0.1410770926773739,0.6666666666666666,1.0,0.754021634079834,0.7459349507775916,0.22818284789164073,0.60184958957218,0.6666666666666666,0.0,1.0,1.0,0.0,0.6666666666666666,0.8333333333333333,1.0,0.5,1,7.69
