Unnamed: 0,smiles,logP,sdf_filename,y_category,f_group
40,OC(C1=CC=CC=C1)=O,2.49,WPYMKLBDIGXBTP-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",non-F
84,FC1(F)C2CNCC1CC2,2.09,ARZGRQADWCHYAO-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
28,OC(CCCC(F)F)=O,2.06,PNKPJTJUUYPYGY-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CHF2
1,OC(C1CCCCC1)=O,2.88,NZNMSOFKMUBTKW-UHFFFAOYSA-N_confors.sdf,"(2.668, 3.27]",non-F
29,O=C(O)C1CC1,1.92,YMGUBTXCNDTFJI-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",non-F
101,F[C@H]1[C@H](F)CNCC1,1.26,BQWQIGWFVSNAHY-RFZPGFLSSA-N_confors.sdf,"(0.863, 1.465]",CHF
158,FC1(F)CCC(N)CCC1,2.5,HTNJGRZJRRYDAY-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
69,C12CCC(C2)CN1,1.65,GYLMCBOAXJVARF-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",non-F
139,NCCC(F)([H])[H],1.28,YTHVGJSPULXGNY-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",CH2F
41,FC(F)(F)[C@@H]1CC[C@H]1C(O)=O,2.88,SDOPWTZUKAGTRM-QWWZWVQMSA-N_confors.sdf,"(2.668, 3.27]",CF3
59,N[C@H]1C[C@H]2C[C@H]2C1,2.3,HAEHSFVDBQNHOX-FMCRUOTFSA-N_confors.sdf,"(2.067, 2.668]",non-F
21,FC1(F)C(C(O)=O)CCCC1,2.5,PBKMJGYFCYLGLD-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
6,O=C(O)C1CCC1,2.26,TXWOGHSRPAYOML-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",non-F
130,FC([H])([H])C1CNCCC1,1.52,XCFQIKQVRXAIEX-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CH2F
159,CCC(F)(F)CN,2.04,HTADKVIIFXTFNT-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",gem-CF2
74,C12CCCC(C2)CN1,1.88,VJPPDEZWWKCSIV-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",non-F
72,C1CCNCC1,1.39,NQRYJNQNLNOLGT-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",non-F
70,CC12CCC(CC2)CN1,2.66,QOQFIGTUFLXDFE-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",non-F
144,NCCCC(F)([H])[H],1.56,CULGXMIWFKMPMB-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CH2F
135,FC([H])(F)C1CNC1,1.4,IMROEAZUSMCUNE-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",CHF2
114,[H]C([H])(F)C1NCCCC1,2.0,VMMNQROZBNSKSB-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CH2F
129,FC([H])(F)C1CNCCC1,1.73,SAEGBAIURUCXRY-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CHF2
127,NC,1.03,BAVYZALUXZFZLV-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",non-F
136,FC([H])([H])C1CNC1,0.93,XHELGHANYVVRLW-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",CH2F
94,F[C@@H]1CNC[C@H]1F,1.08,PHFTVEADDMICLE-QWWZWVQMSA-N_confors.sdf,"(0.863, 1.465]",CHF
110,N[C@@H]1C[C@@H](C(F)([H])[H])C1,1.78,JTADMUVGLNJBPY-URHBZAFASA-N_confors.sdf,"(1.465, 2.067]",CH2F
61,FC(F)(C1(NC2)CC2C1)F,1.93,GNFBNFXKMACPCP-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CF3
128,FC(F)(F)C1CNCCC1,2.21,JOHFJTBDUSVGQB-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",CF3
141,FC(F)(F)C1CCNCC1,2.2,RDRQUUWCJTYHCT-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",CF3
155,FC1(F)CCC(N)CC1,2.32,MQOFXVWAFFJFJH-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
96,FC1(F)CNCCC1,1.65,UOGQPXQDNUHUIB-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",gem-CF2
172,N[C@H]1[C@H](C(F)(F)F)C1,1.79,UDWSAEWNKJDWHU-PWNYCUMCSA-N_confors.sdf,"(1.465, 2.067]",CF3
73,FC(F)(F)C12CCCC(C2)CN1,2.67,YSTGVVKRPDLFKS-UHFFFAOYSA-N_confors.sdf,"(2.668, 3.27]",CF3
104,NC1(CF)CCC1,2.03,MIDTUVOKEMQNOO-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CH2F
8,O=C(O)C1(C(F)F)CCC1,2.19,SJCQJJICGGMKNL-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",CHF2
116,FC(F)(F)C1NCCC1,2.12,VINAMCOZNJHNIH-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",CF3
