,RPCS,PBF,mol_weight,dipole_moment,PPSA5,avg_atoms_in_cycle,FPSA3,chirality,sasa,PNSA5,GeomShapeIndex,TASA,f_freedom,f_to_fg,angle_R1X1R2,angle_X2X1R1,angle_X1X2R2,angle_R2X2R1,distance_between_atoms_in_cycle_and_f_group,distance_between_atoms_in_f_group_centers,nHRing,cis/trans,nF,mol_num_cycles,nFRing,identificator,nO,nARing,nC,nFHRing,fold_id,pKa
23,0.0770012922004272,0.6592410569280058,1.1384576119783913,0.3669825617952272,0.6817590342527803,1.1666666666666665,0.5390553441030741,0.3333333333333333,1.092171941899368,0.36403091239923235,0.5096930304488569,0.3194086309354789,0.0,0.6666666666666666,3.0,2.0,4.0,4.0,4.0,4.0,0,0,2,1,0,0,2,1,8,0,0,4.36
24,0.16780665153378221,0.3070300848793104,0.7123973797269131,0.48746846558751317,0.828866259316193,0.0,0.6948233871567471,0.0,0.5759985940936625,0.14990434095080452,0.7430431442291603,0.14015545024799592,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,2,0,5,0,0,3.55
25,0.20235866299886113,0.6878701110959919,0.7123973797269131,0.8880459425388822,0.7318464819285445,0.0,0.7341834458233343,0.0,0.6007880580779017,0.18849991292397839,0.4098635811099093,0.1156953571958178,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,2,0,5,0,1,4.17
26,0.18166744238465607,0.36769954856154774,0.15916244842400784,0.17605585040491284,0.6706685355097272,0.5,1.0369417209519,0.0,0.13515085636478297,0.5023324563925473,0.2230193711411712,0.13644499587554204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,2,1,4,0,1,4.6
27,0.15690143609786314,0.2136131335437459,0.4574950019141607,0.17996935918964846,0.7228144034376122,0.8333333333333333,0.8389745304720375,0.0,0.5769926463950097,0.6852109969479456,0.8544917268159382,0.38773499268987244,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,2,1,6,0,1,4.69
28,0.10565403428385063,0.8239416987427979,0.7558275554043133,0.17788030553661882,0.7719081563845319,1.1666666666666665,0.7574947368163674,0.0,1.022417809267224,0.7948308583362669,0.6321385061230564,0.6168793317838509,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,2,1,8,0,0,5.08
29,0.18644681773318722,0.30518293652512085,0.32976732315283497,0.17121604783381805,0.710926321378884,0.0,0.8918401944485872,0.0,0.5410780556398203,0.632918765073502,0.5048789549062536,0.3790631194945354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,5,0,0,4.75
30,0.1704099152311949,0.7488138749668682,0.7343889574205623,0.22375138723100013,0.7509991907150492,0.5833333333333333,0.7635810707962734,0.0,0.9908291891517316,0.7209938195034289,0.8447321569648709,0.5766134126111674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,2,2,8,0,1,4.59
31,0.22691301952473372,0.49707019886227655,1.1170190139946405,0.36283223470871767,0.6983211885421322,0.5833333333333333,0.6204415657425808,0.0,1.031103432684348,0.2792498263617681,0.6883917232931165,0.2230047458958191,0.0,0.6666666666666666,4.0,4.0,4.0,4.0,4.0,4.0,0,0,2,2,0,0,2,2,8,0,0,4.35
32,0.004379420274220395,1.0243661948712157,1.0314347696626824,0.6268883510301713,0.6462477490033945,0.6666666666666666,0.5147028951148644,0.6666666666666666,0.71868399747045,0.07422426279727912,0.47862035265391945,0.5276510397968289,0.0,0.6666666666666666,2.0,2.0,1.0,2.0,2.0,2.0,0,1,3,1,0,0,2,1,6,0,0,3.87
33,0.18910419742491297,0.2896088036004356,0.8401250584882386,0.262741207097899,0.8416753131216014,0.6666666666666666,0.8740353165206491,0.6666666666666666,0.6982996243299577,0.2336789384456458,0.667984537853126,0.13208954785881155,1.0,0.6666666666666666,2.0,2.0,1.0,2.0,2.0,2.0,0,2,2,1,0,0,2,1,6,0,0,4.26
34,0.13880844483245258,0.7589986348916264,0.6488047130886042,0.3919659373644166,0.653497173796271,0.6666666666666666,0.8534675320699254,0.6666666666666666,0.6693269576092169,0.3189500896732034,0.5873561411182284,0.23575470276014465,1.0,0.6666666666666666,2.0,2.0,1.0,2.0,2.0,2.0,0,2,1,1,0,0,2,1,6,0,0,4.38
35,0.005610270760856623,0.3945147083629521,0.882268492917606,0.3394517169512982,0.6106657275197412,0.5,0.6265460051936944,0.6666666666666666,0.46855497433195614,-0.09816011022425286,0.6969805022712823,0.43356547135040346,0.0,0.6666666666666666,3.0,2.0,2.0,3.0,1.0,2.0,0,2,3,1,0,0,2,1,5,0,1,3.88
36,0.0,0.4996026855483555,0.882268492917606,0.8012700899161183,0.8557186445274055,0.5,0.6632269300625457,0.6666666666666666,0.4943722894985063,0.03135098186371876,0.5542277357887204,0.465551356550724,0.0,0.6666666666666666,1.0,2.0,2.0,1.0,1.0,1.0,0,1,3,1,0,0,2,1,5,0,1,3.76
37,0.25710616490685556,0.4264348224141852,0.6909587817431623,0.6463572661071058,0.7103219257623935,0.5,0.8963971356367046,0.6666666666666666,0.4402376549432119,-0.022681529811403367,0.5905238396222487,-0.053742725668327274,1.0,0.6666666666666666,3.0,2.0,2.0,3.0,1.0,2.0,0,2,2,1,0,0,2,1,5,0,0,4.18
38,0.22455051415566285,0.5097741162391913,0.6909587817431623,0.6081108780618916,0.8320474525978684,0.5,0.9101178577331104,0.6666666666666666,0.4321577384928632,0.092864032478293,0.25689676249782656,0.008743217980190066,1.0,0.6666666666666666,1.0,2.0,2.0,1.0,1.0,1.0,0,1,2,1,0,0,2,1,5,0,1,4.17
39,0.23753251436439263,0.42668145906120825,0.4996384363435281,0.40972629369450714,0.7190055897610595,0.5,1.0932543809124993,0.6666666666666666,0.4159389880829607,0.21275150725563008,0.952710036420245,0.13336232305378182,1.0,0.6666666666666666,3.0,2.0,2.0,3.0,1.0,2.0,0,2,1,1,0,0,2,1,5,0,1,4.35
