,model_name,train_r^2,train_mse,train_mae,oos_r^2,oos_mse,oos_mae
0,AttentiveFP_attentivefp_Lipophilicity,0.899,0.032,0.13,0.888,0.03,0.143
1,AttentiveFP_canonical_Lipophilicity,0.906,0.03,0.125,0.922,0.021,0.118
2,GAT_attentivefp_Lipophilicity,0.905,0.03,0.131,0.933,0.018,0.106
3,GAT_canonical_Lipophilicity,0.868,0.042,0.157,0.917,0.022,0.12
4,GCN_attentivefp_Lipophilicity,0.925,0.024,0.114,0.955,0.012,0.088
5,GCN_canonical_Lipophilicity,0.891,0.035,0.145,0.947,0.014,0.095
6,Weave_attentivefp_Lipophilicity,-0.003,0.319,0.462,-0.0,0.266,0.4
7,Weave_canonical_Lipophilicity,0.69,0.099,0.24,0.599,0.107,0.253
