,dihedral_angle_-C(=O)O,nN,dihedral_angle_CHF2,nO,nAHRing,dihedral_angle_-N,avg_atoms_in_cycle,nFRing,tpsa+f,amount_of_-O,amount_of_CH2F,naRing,PNSA5,nC,RPCS,mol_num_cycles,dihedral_angle_CF3,PBF,nHRing,amount_of_-C(=O)O,nFaRing,dihedral_angle_-O,dihedral_angle_gem-CF2,FPSA3,dihedral_angle_CH2F,amount_of_CHF,mol_volume,amount_of_=O,dihedral_angle_CHF,PPSA5,f_freedom,dihedral_angle_=O,nFAHRing,amount_of_CF3,TASA,nFaHRing,naHRing,chirality,nFHRing,amount_of_-N,nARing,amount_of_CHF2,nFARing,f_atom_fraction,dihedral_angle_non-F,GeomShapeIndex,f_to_fg,dipole_moment,linear_distance,amount_of_gem-CF2,cis/trans,fold_id,logP
159,0.0,1,0.0,0,0,2.3220624708473587,0.0,0,28.02,0,0,0,-20.056461153713094,4,0.0,0,0.0,0.7720501173051311,0,0,0,0.0,3.141576176715064,0.0327564790802628,0.0,0,101.52,0,0.0,10.549542181953113,0,0,0,0,173.35895774749642,0,0,0,0,1,0,0,0,0.5,0,0.5937705242955402,1.0,0,2.64,2,0,0,2.04
160,0.0,1,0.0,0,0,-2.2998621990317725,0.0,0,28.02,0,0,0,-16.402586020331537,4,0.0,0,0.0,0.561941331137872,0,0,0,0.0,-1.2990503527907793,0.0340401150209154,0.0,0,101.23,0,0.0,10.612789853662232,0,0,0,0,171.82088019865088,0,0,0,0,1,0,0,0,0.5,0,0.7344508379750161,1.0,0,2.71,2,0,1,1.81
161,0.0,1,1.0471655283414465,0,0,-1.2051493840470875,0.0,0,28.02,0,0,0,-17.979457700539307,4,5.987755752794247,0,0.0,0.5381160854431367,0,0,0,0.0,0.0,0.0384968630884434,0.0,0,101.58,0,0.0,11.426016554134318,1,0,0,0,164.11785725392284,0,0,0,0,1,0,1,0,0.5,0,0.6970818743668794,1.0,0,2.76,0,0,1,1.76
162,0.0,1,0.0,0,0,-2.649525693459465,3.0,0,26.02,0,0,0,-7.196423123693224,3,84.83696928659612,1,0.0,0.5869770847612767,0,0,0,0.0,0.0,0.0409947790368477,0.0,0,67.22,0,0.0,7.909767252561883,1,0,0,0,190.59779600836367,0,0,0,0,1,1,0,0,0.0,0,0.8399662000587704,0.0,0,2.21,0,0,0,1.29
163,0.0,1,0.0,0,0,0.500534665352095,5.0,0,26.02,0,0,0,-5.853674621507083,5,59.43799856686985,1,0.0,0.7629710454706405,0,0,0,0.0,0.0,0.0337657477535705,0.0,0,96.46,0,0.0,8.03370398539663,1,0,0,0,224.09909601516915,0,0,0,0,1,1,0,0,0.0,0,0.4219211645605032,0.0,0,2.52,0,0,1,2.23
164,0.0,1,0.0,0,0,-2.8654998609313096,7.0,0,26.02,0,0,0,-4.162071158750124,7,99.03395630685482,1,0.0,0.720929534461479,0,0,0,0.0,0.0,0.0367792549773484,0.0,0,128.33,0,0.0,9.216645801197748,1,0,0,0,273.44655986815894,0,0,0,0,1,1,0,0,0.0,0,0.4844114202358323,0.0,0,2.95,0,0,1,3.03
165,0.0,1,0.0,0,0,-2.820296159371508,0.0,0,26.02,0,0,0,-5.132144741719636,4,105.57570648637228,0,0.0,0.538337999408359,0,0,0,0.0,0.0,0.038912567522757,0.0,0,90.66,0,0.0,9.071978456389251,1,0,0,0,229.5269470783608,0,0,0,0,1,0,0,0,0.0,0,0.7803302720454471,0.0,0,2.67,0,0,1,2.23
166,0.0,1,0.0,0,0,-2.33374916549961,3.5,0,26.02,0,0,0,-4.829501027906594,7,97.62775786271555,2,0.0,0.7248666421033944,0,0,0,0.0,0.0,0.0371950655325668,0.0,0,122.01,0,0.0,9.399620338844295,1,0,0,0,274.9940769442265,0,0,0,0,1,2,0,0,0.0,0,0.7385858276930584,0.0,0,3.01,0,0,0,3.26
168,0.0,1,0.0,0,0,-2.526303312618991,3.5,0,28.02,0,0,0,-16.347813160967835,7,1.869556163033723,2,0.0,0.8083272233908106,0,0,0,0.0,-1.9922868618024887,0.0299597242350431,0.0,0,132.63,0,0.0,10.279217092450908,0,0,0,0,201.84904874029405,0,0,0,0,1,2,0,0,0.2857142857142857,0,0.8144474553771113,2.0,0,3.01,2,0,0,2.53
169,0.0,1,0.0,0,0,-3.025164075930389,4.0,0,29.02,0,0,0,-22.06290228719596,5,0.5502486757624657,1,2.752734948286748,0.6727389489188741,0,0,0,0.0,0.0,0.0277986020944696,0.0,0,114.02,0,0.0,11.39678004863242,0,0,0,1,262.3285067316044,0,0,2,0,1,1,0,0,0.6,0,0.7040312378424092,2.0,0,2.72,0,2,0,2.54
172,0.0,1,0.0,0,0,0.2654982980721866,3.0,0,29.02,0,0,0,-26.47006803895544,4,0.3116353846456643,1,3.141538393341297,0.6937144337470391,0,0,0,0.0,0.0,0.0292890736260597,0.0,0,100.4,0,0.0,10.92947804153692,0,0,0,1,246.43394564272535,0,0,2,0,1,1,0,0,0.75,0,0.6657293836418091,2.0,0,2.6,0,2,0,1.79
173,0.0,1,0.0,0,0,-2.158287269933884,3.0,0,29.02,0,0,0,-24.84350121436803,4,0.0,1,-3.140926036583433,0.6966368489176735,0,0,0,0.0,0.0,0.0277597350290554,0.0,0,99.56,0,0.0,11.306940529954163,0,0,0,1,244.06649869527809,0,0,2,0,1,1,0,0,0.75,0,0.5776609625262316,2.0,0,2.56,0,1,0,2.16
174,0.0,1,-3.1415639311480663,0,0,-0.6521333214480884,3.0,0,28.02,0,0,0,-22.667604542948062,4,5.740005160134484,1,0.0,0.6613436034496092,0,0,0,0.0,0.0,0.0401332515445054,0.0,0,94.33,0,0.0,10.975461115576554,1,0,0,0,155.1631136681871,0,0,2,0,1,1,1,0,0.5,0,0.693143151378823,2.0,0,2.6,0,2,0,1.64
175,0.0,1,-3.141363163753962,0,0,2.143782182421804,3.0,0,28.02,0,0,0,-20.44474223331488,4,4.8336885559027225,1,0.0,0.696740201147752,0,0,0,0.0,0.0,0.042360342499652,0.0,0,94.7,0,0.0,11.743144508082866,1,0,0,0,164.31001554635722,0,0,2,0,1,1,1,0,0.5,0,0.5694267879198862,2.0,0,2.57,0,1,0,1.36
176,0.0,1,0.0,0,0,2.773058845411415,3.0,0,26.02,0,0,0,-5.7060038065389165,4,98.95891168285674,1,0.0,0.5525673479973042,0,0,0,0.0,0.0,0.041146784637,0.0,0,83.71,0,0.0,8.670753469834084,1,0,0,0,227.26677027913036,0,0,2,0,1,1,0,0,0.0,0,0.620640224374572,0.0,0,2.58,0,2,0,1.83
177,0.0,1,0.0,0,0,-2.536336807668325,3.0,0,26.02,0,0,0,-6.524602900950137,4,78.17754022945682,1,0.0,0.6787875848355174,0,0,0,0.0,0.0,0.0354635451364921,0.0,0,83.67,0,0.0,7.931815244875843,1,0,0,0,213.1942788487086,0,0,2,0,1,1,0,0,0.0,0,0.4922106226204106,0.0,0,2.44,0,1,0,1.64
180,0.0,1,0.0,0,0,-1.2311189088422905,2.5,0,26.02,0,0,0,-6.4760250875109975,5,71.6168242675371,2,0.0,0.6033288127554322,0,0,0,0.0,0.0,0.0331836255384665,0.0,0,92.34,0,0.0,8.165825257525277,1,0,0,0,222.4096664634429,0,0,0,0,1,2,0,0,0.0,0,0.8067131907035925,0.0,0,2.57,0,0,1,2.08
182,0.0,1,0.0,0,0,-2.270124470917846,2.5,0,28.02,0,0,0,-21.56448052361081,5,7.543901205894759,2,0.0,0.7058080440371977,0,0,0,0.0,-2.388743637233512,0.0353546938106894,0.0,0,103.53,0,0.0,11.165050910195957,0,0,0,0,172.17510829049928,0,0,0,0,1,2,0,0,0.4,0,0.756389007672506,2.0,0,2.7,2,0,0,2.04
