,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae
0,{'lr': 0.0002731829901620136},0.049073568731546405,97,<wandb.sdk.wandb_run.Run object at 0x00000233A5441750>,0.83,0.051,0.179,0.10082265958189965,62,<wandb.sdk.wandb_run.Run object at 0x00000233A544B290>,0.704,0.099,0.239
1,{'lr': 0.0008117760075784599},0.04564529210329056,80,<wandb.sdk.wandb_run.Run object at 0x00000233A5208DD0>,0.844,0.047,0.171,0.0939000427722931,94,<wandb.sdk.wandb_run.Run object at 0x00000233A4C11350>,0.724,0.093,0.224
2,{'lr': 9.343846321258203e-05},0.06741961613297462,99,<wandb.sdk.wandb_run.Run object at 0x00000233A2565110>,0.764,0.071,0.211,0.10520470440387726,99,<wandb.sdk.wandb_run.Run object at 0x00000233A2558490>,0.69,0.104,0.251
3,{'lr': 0.0019908952956815755},0.04859920367598534,41,<wandb.sdk.wandb_run.Run object at 0x00000233A52D5C90>,0.836,0.049,0.176,0.08128229379653931,99,<wandb.sdk.wandb_run.Run object at 0x00000233952BDC10>,0.761,0.08,0.21
4,{'lr': 0.0019527445819403117},0.04972004815936089,52,<wandb.sdk.wandb_run.Run object at 0x00000233A5489350>,0.833,0.05,0.176,0.07702211514115334,94,<wandb.sdk.wandb_run.Run object at 0x00000233A57327D0>,0.773,0.076,0.211
5,{'lr': 8.083553164343016e-05},0.0699124164879322,95,<wandb.sdk.wandb_run.Run object at 0x00000233A5422AD0>,0.755,0.073,0.214,0.10480776205658912,41,<wandb.sdk.wandb_run.Run object at 0x00000233A57C4150>,0.689,0.105,0.249
6,{'lr': 0.011064509215476023},0.04806604161858559,41,<wandb.sdk.wandb_run.Run object at 0x00000233A5709350>,0.842,0.047,0.168,0.06282735019922256,93,<wandb.sdk.wandb_run.Run object at 0x00000233A5449D10>,0.815,0.062,0.195
