,fold_id,logP,Smiles
94,0,1.08,F[C@@H]1CN(C[C@H]1F)C(=O)C1=CC=CC=C1
95,0,1.26,FC1CCCN(C1)C(=O)C1=CC=CC=C1
96,0,1.65,FC1(F)CCCN(C1)C(=O)C1=CC=CC=C1
97,0,0.58,F[C@H]1C[C@@H](F)CN(C1)C(=O)C1=CC=CC=C1
98,1,1.35,F[C@H]1C[C@H](F)CN(C1)C(=O)C1=CC=CC=C1
100,1,1.15,F[C@@H]1CCN(C[C@@H]1F)C(=O)C1=CC=CC=C1
101,1,1.26,F[C@@H]1CCN(C[C@H]1F)C(=O)C1=CC=CC=C1
102,0,2.51,FC(F)(F)C1(CCC1)NC(=O)C1=CC=CC=C1
104,0,2.03,FCC1(CCC1)NC(=O)C1=CC=CC=C1
106,1,2.82,FC(F)(F)[C@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1
107,1,2.62,FC(F)(F)[C@@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1
108,1,1.97,[H]C(F)(F)[C@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1
109,1,1.98,[H]C(F)(F)[C@@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1
110,0,1.78,[H]C([H])(F)[C@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1
111,1,1.77,[H]C([H])(F)[C@@H]1C[C@@H](C1)NC(=O)C1=CC=CC=C1
112,1,2.54,FC(F)(F)C1CCCCN1C(=O)C1=CC=CC=C1
113,0,2.04,[H]C(F)(F)C1CCCCN1C(=O)C1=CC=CC=C1
114,0,2.0,[H]C([H])(F)C1CCCCN1C(=O)C1=CC=CC=C1
115,0,1.39,O=C(N1CCCCC1)C1=CC=CC=C1
116,0,2.12,FC(F)(F)C1CCCN1C(=O)C1=CC=CC=C1
117,0,1.88,[H]C(F)(F)C1CCCN1C(=O)C1=CC=CC=C1
118,0,1.75,[H]C([H])(F)C1CCCN1C(=O)C1=CC=CC=C1
119,0,1.19,O=C(N1CCCC1)C1=CC=CC=C1
120,1,1.75,FC(F)(F)C1CCN1C(=O)C1=CC=CC=C1
121,0,1.51,[H]C(F)(F)C1CCN1C(=O)C1=CC=CC=C1
122,0,1.4,[H]C([H])(F)C1CCN1C(=O)C1=CC=CC=C1
123,0,1.13,O=C(N1CCC1)C1=CC=CC=C1
125,1,1.37,[H]C(F)(F)CNC(=O)C1=CC=CC=C1
128,1,2.21,FC(F)(F)C1CCCN(C1)C(=O)C1=CC=CC=C1
129,1,1.73,[H]C(F)(F)C1CCCN(C1)C(=O)C1=CC=CC=C1
130,0,1.52,[H]C([H])(F)C1CCCN(C1)C(=O)C1=CC=CC=C1
131,1,1.7,FC(F)(F)C1CCN(C1)C(=O)C1=CC=CC=C1
132,0,1.4,[H]C(F)(F)C1CCN(C1)C(=O)C1=CC=CC=C1
134,1,1.66,FC(F)(F)C1CN(C1)C(=O)C1=CC=CC=C1
135,0,1.4,[H]C(F)(F)C1CN(C1)C(=O)C1=CC=CC=C1
136,1,0.93,[H]C([H])(F)C1CN(C1)C(=O)C1=CC=CC=C1
138,0,1.49,[H]C(F)(F)CCNC(=O)C1=CC=CC=C1
139,0,1.28,[H]C([H])(F)CCNC(=O)C1=CC=CC=C1
140,1,1.31,CCNC(=O)C1=CC=CC=C1
141,1,2.2,FC(F)(F)C1CCN(CC1)C(=O)C1=CC=CC=C1
143,1,1.45,[H]C([H])(F)C1CCN(CC1)C(=O)C1=CC=CC=C1
144,0,1.56,[H]C([H])(F)CCCNC(=O)C1=CC=CC=C1
145,1,1.76,[H]C(F)(F)CCCNC(=O)C1=CC=CC=C1
146,0,2.28,FC(F)(F)CCCNC(=O)C1=CC=CC=C1
147,1,1.72,CCCNC(=O)C1=CC=CC=C1
150,1,1.94,FC1(F)CC(C1)NC(=O)C1=CC=CC=C1
151,1,1.87,FC1(F)CCCC1NC(=O)C1=CC=CC=C1
153,1,2.16,FC1(F)CCCCC1NC(=O)C1=CC=CC=C1
154,1,2.31,FC1(F)CCCC(C1)NC(=O)C1=CC=CC=C1
155,0,2.32,FC1(F)CCC(CC1)NC(=O)C1=CC=CC=C1
