,params,cv_0_loss,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_true_values,cv_0_pred_values,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_0_train_true_values,cv_0_train_pred_values,cv_1_loss,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_true_values,cv_1_pred_values,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae,cv_1_train_true_values,cv_1_train_pred_values
0,"{'lr': 0.006934958280723221, 'train_type': 'predictor_and_readout', 'weight_decay': 0.10613038596508402}",0.21262796223163605,0.01,0.213,0.367,"[4.849999904632568, 4.349999904632568, 3.759999990463257, 3.6600000858306885, 2.9000000953674316, 3.8299999237060547, 3.880000114440918, 4.179999828338623, 4.119999885559082, 3.619999885559082, 4.090000152587891, 4.360000133514404, 4.690000057220459, 4.75, 3.5899999141693115, 4.260000228881836, 3.880000114440918, 4.179999828338623, 4.349999904632568, 4.789999961853027, 3.8499999046325684]","[4.0930376052856445, 4.089948654174805, 4.08993673324585, 4.083322525024414, 4.082098007202148, 4.089946269989014, 4.089946269989014, 4.089946269989014, 4.089946269989014, 4.0912275314331055, 4.092853546142578, 4.0930280685424805, 4.093038082122803, 4.0955681800842285, 4.081864356994629, 4.089323997497559, 4.0891642570495605, 4.0892510414123535, 4.089176654815674, 4.089032173156738, 4.0909929275512695]",0.0,0.213,0.372,"[4.320000171661377, 4.239999771118164, 3.799999952316284, 4.5, 3.0799999237060547, 4.110000133514404, 3.9200000762939453, 3.25, 3.759999990463257, 3.9800000190734863, 3.809999942779541, 3.7799999713897705, 4.170000076293945, 4.380000114440918, 4.599999904632568, 4.5, 5.079999923706055, 4.590000152587891, 3.869999885559082, 4.380000114440918, 3.759999990463257, 4.170000076293945, 4.829999923706055]","[4.093020915985107, 4.089951515197754, 4.089939117431641, 4.0930399894714355, 4.083099365234375, 4.089957237243652, 4.089957237243652, 4.091054916381836, 4.091239929199219, 4.092846393585205, 4.091239929199219, 4.091239929199219, 4.09531307220459, 4.095602035522461, 4.093038558959961, 4.0930399894714355, 4.093040466308594, 4.092585563659668, 4.0892438888549805, 4.089256286621094, 4.089166641235352, 4.0892534255981445, 4.089034557342529]",0.2162751704454422,-0.016,0.216,0.379,"[4.320000171661377, 4.239999771118164, 3.799999952316284, 4.5, 3.0799999237060547, 4.110000133514404, 3.9200000762939453, 3.25, 3.759999990463257, 3.9800000190734863, 3.809999942779541, 3.7799999713897705, 4.170000076293945, 4.380000114440918, 4.599999904632568, 4.5, 5.079999923706055, 4.590000152587891, 3.869999885559082, 4.380000114440918, 3.759999990463257, 4.170000076293945, 4.829999923706055]","[4.054877281188965, 4.057619094848633, 4.057631015777588, 4.054858207702637, 4.02933931350708, 4.057620048522949, 4.057620048522949, 4.055136680603027, 4.054998397827148, 4.0549702644348145, 4.054998397827148, 4.054998397827148, 4.028742790222168, 4.028641223907471, 4.054929733276367, 4.054858207702637, 4.054858207702637, 4.055036544799805, 4.061136722564697, 4.061192989349365, 4.061834335327148, 4.062248229980469, 4.061795234680176]",0.006,0.213,0.372,"[4.849999904632568, 4.349999904632568, 3.759999990463257, 3.6600000858306885, 2.9000000953674316, 3.8299999237060547, 3.880000114440918, 4.179999828338623, 4.119999885559082, 3.619999885559082, 4.090000152587891, 4.360000133514404, 4.690000057220459, 4.75, 3.5899999141693115, 4.260000228881836, 3.880000114440918, 4.179999828338623, 4.349999904632568, 4.789999961853027, 3.8499999046325684]","[4.039083480834961, 4.0419230461120605, 4.04193639755249, 4.010061264038086, 4.010389804840088, 4.04188346862793, 4.04188346862793, 4.041884899139404, 4.041884899139404, 4.039281368255615, 4.0391950607299805, 4.039093971252441, 4.039083480834961, 4.012818813323975, 4.011545181274414, 4.045854568481445, 4.04616641998291, 4.0465826988220215, 4.046220779418945, 4.046125411987305, 4.03939151763916]"
1,"{'lr': 0.007040993662253393, 'train_type': 'predictor_and_readout', 'weight_decay': 0.002352277175303473}",0.2156861424446106,-0.004,0.216,0.367,"[4.849999904632568, 4.349999904632568, 3.759999990463257, 3.6600000858306885, 2.9000000953674316, 3.8299999237060547, 3.880000114440918, 4.179999828338623, 4.119999885559082, 3.619999885559082, 4.090000152587891, 4.360000133514404, 4.690000057220459, 4.75, 3.5899999141693115, 4.260000228881836, 3.880000114440918, 4.179999828338623, 4.349999904632568, 4.789999961853027, 3.8499999046325684]","[4.121835231781006, 4.121752738952637, 4.121752738952637, 4.1217732429504395, 4.121798992156982, 4.121752738952637, 4.121752738952637, 4.121752738952637, 4.121752738952637, 4.121883392333984, 4.1218366622924805, 4.121835231781006, 4.121834754943848, 4.1220598220825195, 4.1219377517700195, 4.121739387512207, 4.12174129486084, 4.121740818023682, 4.121740818023682, 4.121740818023682, 4.121870517730713]",-0.0,0.213,0.37,"[4.320000171661377, 4.239999771118164, 3.799999952316284, 4.5, 3.0799999237060547, 4.110000133514404, 3.9200000762939453, 3.25, 3.759999990463257, 3.9800000190734863, 3.809999942779541, 3.7799999713897705, 4.170000076293945, 4.380000114440918, 4.599999904632568, 4.5, 5.079999923706055, 4.590000152587891, 3.869999885559082, 4.380000114440918, 3.759999990463257, 4.170000076293945, 4.829999923706055]","[4.120766639709473, 4.12068510055542, 4.12068510055542, 4.120766639709473, 4.12070894241333, 4.12068510055542, 4.12068510055542, 4.120817184448242, 4.120815277099609, 4.120769023895264, 4.120815277099609, 4.120815277099609, 4.1209940910339355, 4.120992660522461, 4.120766639709473, 4.120766639709473, 4.120766639709473, 4.120770454406738, 4.120673179626465, 4.120672702789307, 4.1206746101379395, 4.120673179626465, 4.120673179626465]",0.2140255868434906,-0.006,0.214,0.374,"[4.320000171661377, 4.239999771118164, 3.799999952316284, 4.5, 3.0799999237060547, 4.110000133514404, 3.9200000762939453, 3.25, 3.759999990463257, 3.9800000190734863, 3.809999942779541, 3.7799999713897705, 4.170000076293945, 4.380000114440918, 4.599999904632568, 4.5, 5.079999923706055, 4.590000152587891, 3.869999885559082, 4.380000114440918, 3.759999990463257, 4.170000076293945, 4.829999923706055]","[4.089162349700928, 4.088975429534912, 4.088975429534912, 4.089162349700928, 4.08853816986084, 4.088975429534912, 4.088975429534912, 4.0891289710998535, 4.089128494262695, 4.089162826538086, 4.0891289710998535, 4.089128494262695, 4.0889973640441895, 4.088998317718506, 4.0891618728637695, 4.089162349700928, 4.089162349700928, 4.089163303375244, 4.088916778564453, 4.088918209075928, 4.088915824890137, 4.088915824890137, 4.088916301727295]",0.0,0.215,0.368,"[4.849999904632568, 4.349999904632568, 3.759999990463257, 3.6600000858306885, 2.9000000953674316, 3.8299999237060547, 3.880000114440918, 4.179999828338623, 4.119999885559082, 3.619999885559082, 4.090000152587891, 4.360000133514404, 4.690000057220459, 4.75, 3.5899999141693115, 4.260000228881836, 3.880000114440918, 4.179999828338623, 4.349999904632568, 4.789999961853027, 3.8499999046325684]","[4.091495513916016, 4.091316223144531, 4.091316223144531, 4.090924263000488, 4.090874671936035, 4.091316223144531, 4.091316223144531, 4.091316223144531, 4.091316223144531, 4.091469764709473, 4.091496467590332, 4.091495513916016, 4.091495513916016, 4.091342926025391, 4.090822219848633, 4.091259956359863, 4.091259956359863, 4.091259956359863, 4.09126091003418, 4.091259956359863, 4.0914812088012695]"
2,"{'lr': 0.00032325943541671544, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0054612627123655595}",0.009740658104419708,0.955,0.01,0.077,"[4.849999904632568, 4.349999904632568, 3.759999990463257, 3.6600000858306885, 2.9000000953674316, 3.8299999237060547, 3.880000114440918, 4.179999828338623, 4.119999885559082, 3.619999885559082, 4.090000152587891, 4.360000133514404, 4.690000057220459, 4.75, 3.5899999141693115, 4.260000228881836, 3.880000114440918, 4.179999828338623, 4.349999904632568, 4.789999961853027, 3.8499999046325684]","[4.709612846374512, 4.344249725341797, 3.8558504581451416, 3.5267064571380615, 2.9870197772979736, 3.845599412918091, 3.845599412918091, 4.167812824249268, 4.167812824249268, 3.6181397438049316, 4.193473815917969, 4.487846374511719, 4.709612846374512, 4.667746543884277, 3.3346192836761475, 4.209478855133057, 3.7296690940856934, 4.054102897644043, 4.324854850769043, 4.753251075744629, 3.7866370677948]",0.942,0.012,0.072,"[4.320000171661377, 4.239999771118164, 3.799999952316284, 4.5, 3.0799999237060547, 4.110000133514404, 3.9200000762939453, 3.25, 3.759999990463257, 3.9800000190734863, 3.809999942779541, 3.7799999713897705, 4.170000076293945, 4.380000114440918, 4.599999904632568, 4.5, 5.079999923706055, 4.590000152587891, 3.869999885559082, 4.380000114440918, 3.759999990463257, 4.170000076293945, 4.829999923706055]","[4.312942981719971, 4.337375640869141, 3.846247911453247, 4.687129020690918, 3.1009023189544678, 3.997398853302002, 3.997398853302002, 3.2739949226379395, 3.7471444606781006, 3.989610195159912, 3.7652292251586914, 3.7652292251586914, 4.150813102722168, 4.377880096435547, 4.602402210235596, 4.687129020690918, 4.701892852783203, 4.548861026763916, 3.978776216506958, 4.384338855743408, 3.720486640930176, 4.045648097991943, 4.7464823722839355]",0.024275051429867744,0.886,0.024,0.132,"[4.320000171661377, 4.239999771118164, 3.799999952316284, 4.5, 3.0799999237060547, 4.110000133514404, 3.9200000762939453, 3.25, 3.759999990463257, 3.9800000190734863, 3.809999942779541, 3.7799999713897705, 4.170000076293945, 4.380000114440918, 4.599999904632568, 4.5, 5.079999923706055, 4.590000152587891, 3.869999885559082, 4.380000114440918, 3.759999990463257, 4.170000076293945, 4.829999923706055]","[4.112439155578613, 4.456252574920654, 3.874659299850464, 4.747491836547852, 3.3158481121063232, 3.9710798263549805, 3.9710798263549805, 3.356973648071289, 3.681734085083008, 3.920437812805176, 3.6956045627593994, 3.6956043243408203, 4.1691718101501465, 4.306237697601318, 4.7075886726379395, 4.74749231338501, 4.753105640411377, 4.530274868011475, 4.118186950683594, 4.489727020263672, 3.8429319858551025, 4.084806442260742, 4.750461101531982]",0.984,0.003,0.05,"[4.849999904632568, 4.349999904632568, 3.759999990463257, 3.6600000858306885, 2.9000000953674316, 3.8299999237060547, 3.880000114440918, 4.179999828338623, 4.119999885559082, 3.619999885559082, 4.090000152587891, 4.360000133514404, 4.690000057220459, 4.75, 3.5899999141693115, 4.260000228881836, 3.880000114440918, 4.179999828338623, 4.349999904632568, 4.789999961853027, 3.8499999046325684]","[4.726600646972656, 4.4308695793151855, 3.8515806198120117, 3.626868724822998, 2.942023754119873, 3.8439993858337402, 3.8439993858337402, 4.132237911224365, 4.132237911224365, 3.5699825286865234, 4.14056921005249, 4.382978916168213, 4.726600646972656, 4.727131366729736, 3.546635150909424, 4.309065341949463, 3.82047700881958, 4.06242036819458, 4.322389602661133, 4.724454879760742, 3.830759048461914]"
3,"{'lr': 0.0005726690345794453, 'train_type': 'only_predictor', 'weight_decay': 0.003913075698559751}",0.018051669001579285,0.916,0.018,0.113,"[4.849999904632568, 4.349999904632568, 3.759999990463257, 3.6600000858306885, 2.9000000953674316, 3.8299999237060547, 3.880000114440918, 4.179999828338623, 4.119999885559082, 3.619999885559082, 4.090000152587891, 4.360000133514404, 4.690000057220459, 4.75, 3.5899999141693115, 4.260000228881836, 3.880000114440918, 4.179999828338623, 4.349999904632568, 4.789999961853027, 3.8499999046325684]","[4.740582466125488, 4.385436058044434, 3.9221508502960205, 3.4961464405059814, 3.049100637435913, 3.9354493618011475, 3.9354493618011475, 4.211807727813721, 4.211807727813721, 3.630413293838501, 4.267653465270996, 4.521225929260254, 4.740582466125488, 4.73779296875, 3.278980016708374, 4.229526519775391, 3.8010456562042236, 3.9881389141082764, 4.21914005279541, 4.619487762451172, 3.7100892066955566]",0.918,0.017,0.103,"[4.320000171661377, 4.239999771118164, 3.799999952316284, 4.5, 3.0799999237060547, 4.110000133514404, 3.9200000762939453, 3.25, 3.759999990463257, 3.9800000190734863, 3.809999942779541, 3.7799999713897705, 4.170000076293945, 4.380000114440918, 4.599999904632568, 4.5, 5.079999923706055, 4.590000152587891, 3.869999885559082, 4.380000114440918, 3.759999990463257, 4.170000076293945, 4.829999923706055]","[4.2882080078125, 4.393277168273926, 3.9283316135406494, 4.724404335021973, 3.1578073501586914, 4.047835350036621, 4.047835350036621, 3.3458752632141113, 3.73960280418396, 4.005854606628418, 3.7546350955963135, 3.7546350955963135, 4.162094593048096, 4.44481086730957, 4.67611026763916, 4.724404335021973, 4.746419906616211, 4.545941352844238, 4.0180206298828125, 4.375975608825684, 3.8071393966674805, 3.9947853088378906, 4.624524116516113]",0.027844050899147987,0.869,0.028,0.137,"[4.320000171661377, 4.239999771118164, 3.799999952316284, 4.5, 3.0799999237060547, 4.110000133514404, 3.9200000762939453, 3.25, 3.759999990463257, 3.9800000190734863, 3.809999942779541, 3.7799999713897705, 4.170000076293945, 4.380000114440918, 4.599999904632568, 4.5, 5.079999923706055, 4.590000152587891, 3.869999885559082, 4.380000114440918, 3.759999990463257, 4.170000076293945, 4.829999923706055]","[4.163186550140381, 4.403709411621094, 3.905050754547119, 4.758864402770996, 3.4643595218658447, 4.050082206726074, 4.050082206726074, 3.40942645072937, 3.7093288898468018, 3.93129301071167, 3.724315881729126, 3.724316120147705, 4.179265975952148, 4.4532856941223145, 4.728931427001953, 4.758864879608154, 4.760383129119873, 4.434991836547852, 4.113799095153809, 4.489802360534668, 3.8480799198150635, 4.1360578536987305, 4.750917434692383]",0.981,0.004,0.05,"[4.849999904632568, 4.349999904632568, 3.759999990463257, 3.6600000858306885, 2.9000000953674316, 3.8299999237060547, 3.880000114440918, 4.179999828338623, 4.119999885559082, 3.619999885559082, 4.090000152587891, 4.360000133514404, 4.690000057220459, 4.75, 3.5899999141693115, 4.260000228881836, 3.880000114440918, 4.179999828338623, 4.349999904632568, 4.789999961853027, 3.8499999046325684]","[4.752410411834717, 4.3949294090271, 3.8975753784179688, 3.643842935562134, 3.0107319355010986, 3.8837850093841553, 3.8837850093841553, 4.194321155548096, 4.194321155548096, 3.6027774810791016, 4.176701068878174, 4.444746017456055, 4.752410411834717, 4.775187015533447, 3.592778205871582, 4.340070724487305, 3.8418188095092773, 4.128480434417725, 4.346051216125488, 4.743697643280029, 3.8424911499023438]"
4,"{'lr': 0.009369375925155349, 'train_type': 'only_predictor', 'weight_decay': 0.010330215210564583}",0.213887557387352,0.004,0.214,0.366,"[4.849999904632568, 4.349999904632568, 3.759999990463257, 3.6600000858306885, 2.9000000953674316, 3.8299999237060547, 3.880000114440918, 4.179999828338623, 4.119999885559082, 3.619999885559082, 4.090000152587891, 4.360000133514404, 4.690000057220459, 4.75, 3.5899999141693115, 4.260000228881836, 3.880000114440918, 4.179999828338623, 4.349999904632568, 4.789999961853027, 3.8499999046325684]","[4.1239447593688965, 4.120804786682129, 4.1208038330078125, 4.117012023925781, 4.116611003875732, 4.120804786682129, 4.120804786682129, 4.120805263519287, 4.120805263519287, 4.122864723205566, 4.123922348022461, 4.123944282531738, 4.1239447593688965, 4.129430770874023, 4.115022659301758, 4.120738983154297, 4.120725631713867, 4.120735168457031, 4.120733261108398, 4.120715141296387, 4.122821807861328]",0.004,0.212,0.369,"[4.320000171661377, 4.239999771118164, 3.799999952316284, 4.5, 3.0799999237060547, 4.110000133514404, 3.9200000762939453, 3.25, 3.759999990463257, 3.9800000190734863, 3.809999942779541, 3.7799999713897705, 4.170000076293945, 4.380000114440918, 4.599999904632568, 4.5, 5.079999923706055, 4.590000152587891, 3.869999885559082, 4.380000114440918, 3.759999990463257, 4.170000076293945, 4.829999923706055]","[4.123943328857422, 4.120805740356445, 4.120804786682129, 4.1239447593688965, 4.117125511169434, 4.120806694030762, 4.120806694030762, 4.122843265533447, 4.122865676879883, 4.123922348022461, 4.122866630554199, 4.122865676879883, 4.129410266876221, 4.129432201385498, 4.123946189880371, 4.1239447593688965, 4.1239447593688965, 4.123899459838867, 4.120731353759766, 4.1207380294799805, 4.120726585388184, 4.120736122131348, 4.120716094970703]",0.12326280772686005,0.421,0.123,0.288,"[4.320000171661377, 4.239999771118164, 3.799999952316284, 4.5, 3.0799999237060547, 4.110000133514404, 3.9200000762939453, 3.25, 3.759999990463257, 3.9800000190734863, 3.809999942779541, 3.7799999713897705, 4.170000076293945, 4.380000114440918, 4.599999904632568, 4.5, 5.079999923706055, 4.590000152587891, 3.869999885559082, 4.380000114440918, 3.759999990463257, 4.170000076293945, 4.829999923706055]","[4.453454971313477, 4.308300018310547, 4.300851821899414, 4.458426475524902, 3.7892420291900635, 4.3082733154296875, 4.3082733154296875, 3.856307029724121, 4.001501083374023, 4.398633003234863, 4.0015645027160645, 4.0015645027160645, 4.368856430053711, 4.472141265869141, 4.4584174156188965, 4.458426475524902, 4.458426475524902, 4.335686683654785, 4.208257675170898, 4.2645463943481445, 4.197574615478516, 4.260928153991699, 4.254153251647949]",0.62,0.082,0.23,"[4.849999904632568, 4.349999904632568, 3.759999990463257, 3.6600000858306885, 2.9000000953674316, 3.8299999237060547, 3.880000114440918, 4.179999828338623, 4.119999885559082, 3.619999885559082, 4.090000152587891, 4.360000133514404, 4.690000057220459, 4.75, 3.5899999141693115, 4.260000228881836, 3.880000114440918, 4.179999828338623, 4.349999904632568, 4.789999961853027, 3.8499999046325684]","[4.390137672424316, 4.236591339111328, 4.228586196899414, 3.7324912548065186, 3.2729833126068115, 4.228785514831543, 4.228785514831543, 4.23630428314209, 4.23630428314209, 3.916491746902466, 4.331453323364258, 4.387527942657471, 4.390137672424316, 4.403890609741211, 3.522426128387451, 4.192254066467285, 4.1218461990356445, 4.1870574951171875, 4.185812950134277, 4.180121421813965, 3.789320707321167]"
