,params,cv_0_loss,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_true_values,cv_0_pred_values,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_0_train_true_values,cv_0_train_pred_values,cv_1_loss,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_true_values,cv_1_pred_values,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae,cv_1_train_true_values,cv_1_train_pred_values
0,"{'lr': 0.0007406533710553056, 'train_type': 'only_predictor', 'weight_decay': 0.3027236908740697}",0.49368417263031006,0.809,0.494,0.51,"[8.890000343322754, 8.949999809265137, 9.449999809265137, 10.579999923706055, 9.770000457763672, 6.519999980926514, 11.289999961853027, 6.409999847412109, 10.420000076293945, 11.270000457763672, 11.119999885559082, 10.859999656677246, 7.690000057220459, 10.529999732971191, 6.440000057220459, 8.869999885559082, 6.880000114440918, 7.070000171661377, 6.21999979019165, 7.019999980926514, 5.0, 9.170000076293945, 9.479999542236328, 6.409999847412109, 7.989999771118164, 9.520000457763672, 6.059999942779541, 7.829999923706055, 11.289999961853027, 8.670000076293945, 10.050000190734863, 10.050000190734863, 10.1899995803833, 10.460000038146973, 10.039999961853027, 9.739999771118164, 7.199999809265137, 8.829999923706055, 9.449999809265137, 8.130000114440918, 9.350000381469727, 10.010000228881836, 7.949999809265137, 8.979999542236328, 6.920000076293945, 7.760000228881836, 7.159999847412109, 9.4399995803833, 9.149999618530273]","[8.811386108398438, 8.811386108398438, 9.579132080078125, 10.066933631896973, 9.662164688110352, 5.96752405166626, 10.309978485107422, 6.542794704437256, 10.007455825805664, 9.194011688232422, 10.316808700561523, 10.099414825439453, 7.752243518829346, 10.100481986999512, 4.959285259246826, 8.519681930541992, 6.013818740844727, 6.089359760284424, 7.202487468719482, 7.40914249420166, 5.324004650115967, 9.171913146972656, 9.412969589233398, 6.542794704437256, 8.073626518249512, 8.92901611328125, 6.47923469543457, 7.659444332122803, 10.26960563659668, 7.28654146194458, 9.325642585754395, 9.834097862243652, 9.8029203414917, 10.00572395324707, 9.999622344970703, 9.811176300048828, 6.305303573608398, 8.618276596069336, 9.579132080078125, 6.484228610992432, 8.88963794708252, 10.017898559570312, 7.920917510986328, 8.982126235961914, 7.409116744995117, 8.597906112670898, 8.597906112670898, 9.562021255493164, 9.562021255493164]",0.857,0.34,0.487,"[9.789999961853027, 6.059999942779541, 6.230000019073486, 6.559999942779541, 5.960000038146973, 10.380000114440918, 10.989999771118164, 9.40999984741211, 6.369999885559082, 7.71999979019165, 8.050000190734863, 10.399999618530273, 7.75, 11.130000114440918, 8.550000190734863, 11.210000038146973, 8.640000343322754, 6.739999771118164, 9.050000190734863, 7.010000228881836, 6.619999885559082, 8.739999771118164, 8.600000381469727, 9.039999961853027, 9.579999923706055, 11.119999885559082, 7.78000020980835, 9.550000190734863, 11.3100004196167, 5.840000152587891, 9.670000076293945, 8.960000038146973, 10.319999694824219, 9.75, 10.380000114440918, 9.569999694824219, 8.880000114440918, 9.020000457763672, 10.75, 9.600000381469727, 10.029999732971191, 8.369999885559082, 7.449999809265137, 9.569999694824219, 10.520000457763672, 10.6899995803833, 9.8100004196167, 9.319999694824219, 7.179999828338623, 9.40999984741211, 7.440000057220459]","[9.761154174804688, 6.778128147125244, 6.432520866394043, 6.580120086669922, 6.440536022186279, 10.146480560302734, 9.343826293945312, 9.826915740966797, 7.795351505279541, 8.031487464904785, 7.800887584686279, 10.035284996032715, 8.353690147399902, 10.372943878173828, 7.811670780181885, 10.4039945602417, 9.09843635559082, 7.5092692375183105, 9.81021785736084, 7.716170787811279, 7.429898738861084, 8.900249481201172, 8.900249481201172, 9.321083068847656, 9.541008949279785, 10.409173011779785, 8.298974990844727, 9.140266418457031, 10.4039945602417, 6.2989726066589355, 8.875249862670898, 8.688636779785156, 10.04333782196045, 9.522504806518555, 9.877169609069824, 9.011687278747559, 8.444664001464844, 9.535364151000977, 9.97111988067627, 9.59134292602539, 10.161323547363281, 7.993515968322754, 6.8092522621154785, 9.057548522949219, 10.143327713012695, 10.14307689666748, 9.817062377929688, 9.507112503051758, 7.6769328117370605, 9.753549575805664, 8.011245727539062]",0.4677320420742035,0.804,0.468,0.573,"[9.789999961853027, 6.059999942779541, 6.230000019073486, 6.559999942779541, 5.960000038146973, 10.380000114440918, 10.989999771118164, 9.40999984741211, 6.369999885559082, 7.71999979019165, 8.050000190734863, 10.399999618530273, 7.75, 11.130000114440918, 8.550000190734863, 11.210000038146973, 8.640000343322754, 6.739999771118164, 9.050000190734863, 7.010000228881836, 6.619999885559082, 8.739999771118164, 8.600000381469727, 9.039999961853027, 9.579999923706055, 11.119999885559082, 7.78000020980835, 9.550000190734863, 11.3100004196167, 5.840000152587891, 9.670000076293945, 8.960000038146973, 10.319999694824219, 9.75, 10.380000114440918, 9.569999694824219, 8.880000114440918, 9.020000457763672, 10.75, 9.600000381469727, 10.029999732971191, 8.369999885559082, 7.449999809265137, 9.569999694824219, 10.520000457763672, 10.6899995803833, 9.8100004196167, 9.319999694824219, 7.179999828338623, 9.40999984741211, 7.440000057220459]","[9.533575057983398, 6.919506072998047, 7.0179266929626465, 7.137432098388672, 7.023623943328857, 10.127330780029297, 9.517160415649414, 9.93349838256836, 8.106103897094727, 8.316662788391113, 8.002159118652344, 9.983808517456055, 8.693578720092773, 10.362811088562012, 7.497897624969482, 10.401994705200195, 8.934045791625977, 7.2744221687316895, 9.68996810913086, 7.372067451477051, 7.226330280303955, 8.738454818725586, 8.738454818725586, 9.037904739379883, 9.286008834838867, 10.407022476196289, 7.996006965637207, 8.919516563415527, 10.401994705200195, 6.516950607299805, 8.62203598022461, 8.039250373840332, 9.967660903930664, 9.344599723815918, 9.797062873840332, 8.638633728027344, 8.054010391235352, 8.839757919311523, 9.686655044555664, 9.717334747314453, 9.911209106445312, 8.02688980102539, 6.844045162200928, 8.672039031982422, 9.997917175292969, 9.997915267944336, 9.736283302307129, 9.065801620483398, 7.275134563446045, 9.668021202087402, 8.180330276489258]",0.863,0.355,0.477,"[8.890000343322754, 8.949999809265137, 9.449999809265137, 10.579999923706055, 9.770000457763672, 6.519999980926514, 11.289999961853027, 6.409999847412109, 10.420000076293945, 11.270000457763672, 11.119999885559082, 10.859999656677246, 7.690000057220459, 10.529999732971191, 6.440000057220459, 8.869999885559082, 6.880000114440918, 7.070000171661377, 6.21999979019165, 7.019999980926514, 5.0, 9.170000076293945, 9.479999542236328, 6.409999847412109, 7.989999771118164, 9.520000457763672, 6.059999942779541, 7.829999923706055, 11.289999961853027, 8.670000076293945, 10.050000190734863, 10.050000190734863, 10.1899995803833, 10.460000038146973, 10.039999961853027, 9.739999771118164, 7.199999809265137, 8.829999923706055, 9.449999809265137, 8.130000114440918, 9.350000381469727, 10.010000228881836, 7.949999809265137, 8.979999542236328, 6.920000076293945, 7.760000228881836, 7.159999847412109, 9.4399995803833, 9.149999618530273]","[8.811685562133789, 8.811685562133789, 9.638099670410156, 9.97533893585205, 9.509839057922363, 6.811758995056152, 10.370048522949219, 6.91296911239624, 10.07166862487793, 9.531373023986816, 10.376896858215332, 10.19853401184082, 8.226736068725586, 10.198655128479004, 5.986998081207275, 8.46957778930664, 6.799760341644287, 6.341145038604736, 7.181076526641846, 7.290689945220947, 5.745816230773926, 8.999861717224121, 9.254236221313477, 6.91296911239624, 7.956142902374268, 8.879074096679688, 6.857819080352783, 7.52584981918335, 10.324068069458008, 7.52627420425415, 9.267154693603516, 9.45969009399414, 9.891212463378906, 10.087305068969727, 9.783404350280762, 9.657659530639648, 6.623917102813721, 8.782024383544922, 9.63809871673584, 6.767500400543213, 8.972079277038574, 9.805315017700195, 7.746798038482666, 8.526611328125, 7.214925289154053, 8.079936027526855, 8.079936027526855, 9.360442161560059, 9.360443115234375]"
1,"{'lr': 0.0010577722300228307, 'train_type': 'predictor_and_readout', 'weight_decay': 0.002389679741172825}",0.1725142002105713,0.933,0.173,0.293,"[8.890000343322754, 8.949999809265137, 9.449999809265137, 10.579999923706055, 9.770000457763672, 6.519999980926514, 11.289999961853027, 6.409999847412109, 10.420000076293945, 11.270000457763672, 11.119999885559082, 10.859999656677246, 7.690000057220459, 10.529999732971191, 6.440000057220459, 8.869999885559082, 6.880000114440918, 7.070000171661377, 6.21999979019165, 7.019999980926514, 5.0, 9.170000076293945, 9.479999542236328, 6.409999847412109, 7.989999771118164, 9.520000457763672, 6.059999942779541, 7.829999923706055, 11.289999961853027, 8.670000076293945, 10.050000190734863, 10.050000190734863, 10.1899995803833, 10.460000038146973, 10.039999961853027, 9.739999771118164, 7.199999809265137, 8.829999923706055, 9.449999809265137, 8.130000114440918, 9.350000381469727, 10.010000228881836, 7.949999809265137, 8.979999542236328, 6.920000076293945, 7.760000228881836, 7.159999847412109, 9.4399995803833, 9.149999618530273]","[8.638801574707031, 8.638801574707031, 9.440828323364258, 10.577787399291992, 9.818075180053711, 6.129358291625977, 11.149351119995117, 6.181684970855713, 10.434375762939453, 10.951505661010742, 11.16990852355957, 10.714761734008789, 7.8165693283081055, 10.706796646118164, 6.224334716796875, 8.29732608795166, 6.148294448852539, 6.798532485961914, 6.834483623504639, 6.962457656860352, 6.6425862312316895, 9.02441692352295, 9.5335054397583, 6.181685447692871, 7.929082870483398, 9.781978607177734, 6.056704998016357, 7.504321098327637, 11.140701293945312, 7.634925842285156, 9.66287899017334, 9.576250076293945, 10.054515838623047, 10.860734939575195, 9.814806938171387, 9.706429481506348, 7.404468059539795, 8.345909118652344, 9.440827369689941, 7.426338195800781, 9.072083473205566, 9.83430290222168, 8.22179126739502, 8.817670822143555, 7.192835330963135, 7.891279220581055, 7.891279220581055, 9.633917808532715, 9.633916854858398]",0.996,0.008,0.067,"[9.789999961853027, 6.059999942779541, 6.230000019073486, 6.559999942779541, 5.960000038146973, 10.380000114440918, 10.989999771118164, 9.40999984741211, 6.369999885559082, 7.71999979019165, 8.050000190734863, 10.399999618530273, 7.75, 11.130000114440918, 8.550000190734863, 11.210000038146973, 8.640000343322754, 6.739999771118164, 9.050000190734863, 7.010000228881836, 6.619999885559082, 8.739999771118164, 8.600000381469727, 9.039999961853027, 9.579999923706055, 11.119999885559082, 7.78000020980835, 9.550000190734863, 11.3100004196167, 5.840000152587891, 9.670000076293945, 8.960000038146973, 10.319999694824219, 9.75, 10.380000114440918, 9.569999694824219, 8.880000114440918, 9.020000457763672, 10.75, 9.600000381469727, 10.029999732971191, 8.369999885559082, 7.449999809265137, 9.569999694824219, 10.520000457763672, 10.6899995803833, 9.8100004196167, 9.319999694824219, 7.179999828338623, 9.40999984741211, 7.440000057220459]","[9.816617012023926, 6.051918983459473, 6.18794059753418, 6.330953121185303, 6.189092636108398, 10.45529842376709, 10.902237892150879, 9.408686637878418, 6.44687557220459, 7.813577651977539, 7.940345287322998, 10.417986869812012, 7.764738082885742, 11.139985084533691, 8.308780670166016, 11.147561073303223, 8.83174991607666, 6.834707260131836, 9.074331283569336, 6.960646629333496, 6.645557880401611, 8.699153900146484, 8.699153900146484, 9.023892402648926, 9.531695365905762, 11.168072700500488, 7.765794277191162, 9.728022575378418, 11.147561073303223, 5.871264457702637, 9.535576820373535, 8.915663719177246, 10.482375144958496, 9.660835266113281, 10.29356861114502, 9.538893699645996, 8.865248680114746, 9.0532865524292, 10.693939208984375, 9.592625617980957, 10.122157096862793, 8.349201202392578, 7.424491882324219, 9.520878791809082, 10.575222969055176, 10.57593822479248, 9.835074424743652, 9.314543724060059, 7.180338382720947, 9.435049057006836, 7.435190200805664]",0.22924064099788666,0.904,0.229,0.333,"[9.789999961853027, 6.059999942779541, 6.230000019073486, 6.559999942779541, 5.960000038146973, 10.380000114440918, 10.989999771118164, 9.40999984741211, 6.369999885559082, 7.71999979019165, 8.050000190734863, 10.399999618530273, 7.75, 11.130000114440918, 8.550000190734863, 11.210000038146973, 8.640000343322754, 6.739999771118164, 9.050000190734863, 7.010000228881836, 6.619999885559082, 8.739999771118164, 8.600000381469727, 9.039999961853027, 9.579999923706055, 11.119999885559082, 7.78000020980835, 9.550000190734863, 11.3100004196167, 5.840000152587891, 9.670000076293945, 8.960000038146973, 10.319999694824219, 9.75, 10.380000114440918, 9.569999694824219, 8.880000114440918, 9.020000457763672, 10.75, 9.600000381469727, 10.029999732971191, 8.369999885559082, 7.449999809265137, 9.569999694824219, 10.520000457763672, 10.6899995803833, 9.8100004196167, 9.319999694824219, 7.179999828338623, 9.40999984741211, 7.440000057220459]","[9.6003999710083, 6.312933921813965, 6.549376010894775, 6.610032081604004, 6.547287940979004, 10.471956253051758, 11.020651817321777, 9.829209327697754, 8.170223236083984, 8.201382637023926, 8.199812889099121, 10.582995414733887, 8.350109100341797, 11.114588737487793, 7.2216010093688965, 11.209773063659668, 9.125778198242188, 6.498730182647705, 10.138111114501953, 7.039220809936523, 6.364902019500732, 8.86447525024414, 8.86447525024414, 9.111178398132324, 9.421835899353027, 11.241223335266113, 7.987339019775391, 9.471753120422363, 11.209773063659668, 6.216564655303955, 9.300004959106445, 8.676642417907715, 10.639664649963379, 9.365256309509277, 10.324247360229492, 8.904409408569336, 8.6072416305542, 9.441515922546387, 10.901004791259766, 9.742572784423828, 10.770194053649902, 8.274341583251953, 7.577778339385986, 8.827998161315918, 10.46983814239502, 10.471541404724121, 10.020613670349121, 9.603949546813965, 7.175076007843018, 10.093348503112793, 8.113183975219727]",0.985,0.039,0.143,"[8.890000343322754, 8.949999809265137, 9.449999809265137, 10.579999923706055, 9.770000457763672, 6.519999980926514, 11.289999961853027, 6.409999847412109, 10.420000076293945, 11.270000457763672, 11.119999885559082, 10.859999656677246, 7.690000057220459, 10.529999732971191, 6.440000057220459, 8.869999885559082, 6.880000114440918, 7.070000171661377, 6.21999979019165, 7.019999980926514, 5.0, 9.170000076293945, 9.479999542236328, 6.409999847412109, 7.989999771118164, 9.520000457763672, 6.059999942779541, 7.829999923706055, 11.289999961853027, 8.670000076293945, 10.050000190734863, 10.050000190734863, 10.1899995803833, 10.460000038146973, 10.039999961853027, 9.739999771118164, 7.199999809265137, 8.829999923706055, 9.449999809265137, 8.130000114440918, 9.350000381469727, 10.010000228881836, 7.949999809265137, 8.979999542236328, 6.920000076293945, 7.760000228881836, 7.159999847412109, 9.4399995803833, 9.149999618530273]","[8.834065437316895, 8.834065437316895, 9.54772663116455, 10.47041130065918, 9.600863456726074, 6.503668785095215, 11.207551002502441, 6.343551158905029, 10.450531959533691, 11.155028343200684, 11.238984107971191, 10.732855796813965, 8.203323364257812, 10.722521781921387, 6.487736701965332, 8.820138931274414, 6.744221210479736, 6.7871413230896, 6.501918315887451, 7.036091327667236, 5.048774719238281, 9.10991382598877, 9.42267894744873, 6.343551158905029, 8.028573036193848, 9.504725456237793, 6.311446189880371, 7.793577671051025, 11.111626625061035, 8.168800354003906, 9.996201515197754, 10.067508697509766, 10.085267066955566, 10.667789459228516, 9.971780776977539, 9.791207313537598, 7.567381858825684, 8.858488082885742, 9.54772663116455, 7.578306674957275, 9.306585311889648, 10.023314476013184, 7.8113322257995605, 8.861001014709473, 7.180644512176514, 7.474330425262451, 7.474330425262451, 9.49147891998291, 9.49147891998291]"
