,params,cv_0_loss,cv_0_r^2,cv_0_mse,cv_0_mae,cv_0_true_values,cv_0_pred_values,cv_0_train_r^2,cv_0_train_mse,cv_0_train_mae,cv_0_train_true_values,cv_0_train_pred_values,cv_1_loss,cv_1_r^2,cv_1_mse,cv_1_mae,cv_1_true_values,cv_1_pred_values,cv_1_train_r^2,cv_1_train_mse,cv_1_train_mae,cv_1_train_true_values,cv_1_train_pred_values
0,"{'lr': 0.00029667527246775706, 'train_type': 'only_predictor', 'weight_decay': 0.004855343527023803}",0.015669148415327072,0.921,0.016,0.1,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.150046348571777, 4.337347507476807, 3.8939192295074463, 3.8939192295074463, 3.010485887527466, 3.8601105213165283, 3.9423668384552, 3.590280771255493, 3.738029718399048, 4.0711894035339355, 3.769940137863159, 4.295619964599609, 4.199416637420654, 4.681680679321289, 4.803029537200928, 4.520905017852783, 3.777959108352661, 3.777959108352661, 4.042236804962158, 4.282175540924072, 4.546741008758545, 4.546741008758545]",0.959,0.01,0.061,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[4.802319526672363, 4.783147811889648, 3.641059637069702, 3.1199686527252197, 3.8621251583099365, 3.942176103591919, 4.148653030395508, 4.148653030395508, 3.301788330078125, 3.9743340015411377, 3.7717297077178955, 4.393089294433594, 3.5476272106170654, 4.802319526672363, 4.737320899963379, 4.3541107177734375, 4.011168956756592, 4.242693901062012, 4.373453140258789, 4.042840480804443, 3.4953413009643555]",0.030449070036411285,0.877,0.03,0.141,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[4.6793951988220215, 4.674171447753906, 3.4978232383728027, 3.3532965183258057, 3.871729612350464, 4.073785305023193, 4.260122776031494, 4.260122776031494, 3.3062233924865723, 3.675279378890991, 3.775620937347412, 4.482255935668945, 3.577056407928467, 4.6793951988220215, 4.671559810638428, 4.389667987823486, 4.079615592956543, 4.322920799255371, 4.461984634399414, 4.1309733390808105, 3.2580795288085938]",0.994,0.001,0.03,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.307507514953613, 4.393470764160156, 3.8226451873779297, 3.8226451873779297, 2.9301180839538574, 3.8717198371887207, 4.073784828186035, 3.609799861907959, 3.7595839500427246, 3.9492499828338623, 3.775617837905884, 4.138236999511719, 4.162236213684082, 4.628536701202393, 4.679384708404541, 4.559323787689209, 3.810356616973877, 3.810356616973877, 4.1309590339660645, 4.385214328765869, 4.771840572357178, 4.771840572357178]"
1,"{'lr': 0.000523677800347454, 'train_type': 'predictor_and_readout', 'weight_decay': 0.005190639320951469}",0.030584752559661865,0.845,0.031,0.131,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.382137775421143, 4.231014251708984, 3.866842269897461, 3.866842269897461, 3.048140525817871, 3.8958802223205566, 3.9616923332214355, 3.660856246948242, 3.7886404991149902, 4.21651029586792, 3.8189520835876465, 4.414608478546143, 4.144993305206299, 4.691124439239502, 4.752486705780029, 4.452429294586182, 3.767733573913574, 3.767733573913574, 4.0072126388549805, 4.240187644958496, 4.39426326751709, 4.39426326751709]",0.947,0.013,0.077,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[4.751245498657227, 4.739749908447266, 3.6258504390716553, 3.1448476314544678, 3.8969178199768066, 3.9623196125030518, 4.146197319030762, 4.146197319030762, 3.325416326522827, 3.9832050800323486, 3.821958065032959, 4.541914939880371, 3.537195920944214, 4.751245498657227, 4.740377902984619, 4.356776714324951, 4.000817775726318, 4.2457146644592285, 4.369689464569092, 4.007877349853516, 3.4880387783050537]",0.03519970923662186,0.858,0.035,0.155,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[4.693777561187744, 4.6905293464660645, 3.3074285984039307, 3.283930778503418, 3.8834314346313477, 4.114439010620117, 4.276295185089111, 4.276295185089111, 3.5319318771362305, 3.7914366722106934, 3.7331912517547607, 4.468649387359619, 3.782414436340332, 4.693777561187744, 4.699740886688232, 4.404352188110352, 3.938725709915161, 4.25201416015625, 4.410848140716553, 4.122946739196777, 3.243277072906494]",0.986,0.003,0.044,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.263413906097412, 4.380765914916992, 3.8686070442199707, 3.8686070442199707, 2.9426116943359375, 3.886435031890869, 4.118087291717529, 3.677365779876709, 3.730273723602295, 3.9641122817993164, 3.735334634780884, 4.140790939331055, 4.158047676086426, 4.662831783294678, 4.697333335876465, 4.525622367858887, 3.788990020751953, 3.788990020751953, 4.126494407653809, 4.370915412902832, 4.747045516967773, 4.747045993804932]"
2,"{'lr': 5.170377347875667e-05, 'train_type': 'only_predictor', 'weight_decay': 5.138720654185945e-05}",0.023326795548200607,0.882,0.023,0.105,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.111033916473389, 4.362940311431885, 3.8021185398101807, 3.8021185398101807, 3.2206878662109375, 3.8206725120544434, 3.938762903213501, 3.6409895420074463, 3.76505446434021, 4.020153522491455, 3.779970645904541, 4.382564067840576, 4.600497245788574, 4.679954528808594, 4.802742958068848, 4.4839768409729, 3.8314454555511475, 3.8314454555511475, 4.078889846801758, 4.268655300140381, 4.758184909820557, 4.758185386657715]",0.96,0.01,0.053,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[4.806364059448242, 4.804225444793701, 3.6510086059570312, 3.0899858474731445, 3.827300548553467, 3.9453125, 4.157827854156494, 4.157827854156494, 3.249171495437622, 4.015196323394775, 3.7820866107940674, 4.372796058654785, 3.552682399749756, 4.806364059448242, 4.756043434143066, 4.36798620223999, 4.016910552978516, 4.244040489196777, 4.3462958335876465, 4.0844502449035645, 3.4954893589019775]",0.03293650597333908,0.867,0.033,0.146,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[4.7258172035217285, 4.7279157638549805, 3.6571476459503174, 3.065453290939331, 3.910897731781006, 4.069260120391846, 4.293009281158447, 4.293009281158447, 3.4366214275360107, 3.6503779888153076, 3.7749979496002197, 4.485535621643066, 3.2140090465545654, 4.7258172035217285, 4.502116680145264, 4.442770481109619, 4.064535140991211, 4.2119669914245605, 4.390455722808838, 4.080631256103516, 3.435173988342285]",0.988,0.002,0.039,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.302417278289795, 4.438211917877197, 3.8334333896636963, 3.8334333896636963, 2.883913993835449, 3.8944990634918213, 4.053887367248535, 3.6570451259613037, 3.756129026412964, 3.9511725902557373, 3.768982172012329, 4.183197021484375, 4.155669689178467, 4.642332077026367, 4.712752819061279, 4.555340766906738, 3.8344480991363525, 3.8344480991363525, 4.067323207855225, 4.346426010131836, 4.822246074676514, 4.822246074676514]"
3,"{'lr': 5.648550818176999e-05, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0005955393538090741}",0.022827239707112312,0.885,0.023,0.105,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.11083459854126, 4.356198787689209, 3.8039638996124268, 3.8039638996124268, 3.2091691493988037, 3.817434310913086, 3.935243844985962, 3.627901315689087, 3.757988452911377, 4.024544715881348, 3.7761459350585938, 4.381369590759277, 4.588943004608154, 4.67849588394165, 4.797683238983154, 4.480813026428223, 3.830423593521118, 3.830423593521118, 4.072940826416016, 4.263789176940918, 4.742183208465576, 4.742183208465576]",0.96,0.01,0.054,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[4.80105447769165, 4.799038887023926, 3.6512656211853027, 3.0869038105010986, 3.823256731033325, 3.940936803817749, 4.155500411987305, 4.155500411987305, 3.2489564418792725, 4.00745153427124, 3.7777695655822754, 4.370847702026367, 3.5466060638427734, 4.80105447769165, 4.7553606033325195, 4.3640570640563965, 4.012390613555908, 4.239832878112793, 4.342944145202637, 4.078358173370361, 3.4910330772399902]",0.03326144069433212,0.865,0.033,0.148,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[4.731329917907715, 4.733401775360107, 3.663330554962158, 3.050452709197998, 3.919250965118408, 4.075346946716309, 4.29978609085083, 4.29978609085083, 3.4450063705444336, 3.653815269470215, 3.7772297859191895, 4.49415922164917, 3.216503143310547, 4.731329917907715, 4.50240421295166, 4.449858665466309, 4.07238245010376, 4.217363357543945, 4.4026055335998535, 4.088961124420166, 3.451317071914673]",0.987,0.003,0.039,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.313934803009033, 4.447149276733398, 3.84610652923584, 3.84610652923584, 2.8915858268737793, 3.9057955741882324, 4.0632643699646, 3.659156084060669, 3.7599053382873535, 3.9618277549743652, 3.7726781368255615, 4.1898322105407715, 4.164217472076416, 4.651867866516113, 4.720663547515869, 4.5692596435546875, 3.839498996734619, 3.839498996734619, 4.07782506942749, 4.359134197235107, 4.8316144943237305, 4.8316144943237305]"
4,"{'lr': 0.0063717936997138526, 'train_type': 'only_predictor', 'weight_decay': 0.028267921692469763}",0.1982823759317398,-0.002,0.198,0.354,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.06829833984375, 4.066771507263184, 4.066766738891602, 4.066766738891602, 4.063529014587402, 4.066767692565918, 4.066772937774658, 4.064961910247803, 4.064964294433594, 4.068178176879883, 4.064964294433594, 4.068180561065674, 4.070377349853516, 4.068302631378174, 4.06830358505249, 4.0680742263793945, 4.064774513244629, 4.064774513244629, 4.064845085144043, 4.0648651123046875, 4.0648016929626465, 4.0648016929626465]",0.004,0.246,0.401,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[4.065766334533691, 4.065766334533691, 4.063962936401367, 4.063119888305664, 4.0642409324646, 4.064245223999023, 4.064245700836182, 4.064245700836182, 4.062281608581543, 4.065517902374268, 4.062446594238281, 4.0657639503479, 4.063759803771973, 4.065766334533691, 4.068020343780518, 4.0655412673950195, 4.062323570251465, 4.062389373779297, 4.062407970428467, 4.062325954437256, 4.060156345367432]",0.23359550535678864,0.055,0.234,0.38,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[3.981199026107788, 3.9812018871307373, 3.7371394634246826, 3.7572994232177734, 3.959834337234497, 3.9607412815093994, 3.960292100906372, 3.960292100906372, 3.9456493854522705, 3.971963405609131, 3.9499194622039795, 3.9808671474456787, 3.817014455795288, 3.981199026107788, 3.861923933029175, 3.972184896469116, 3.9682509899139404, 3.9742133617401123, 3.971451997756958, 3.9777963161468506, 3.9171807765960693]",0.075,0.183,0.359,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.247641086578369, 4.227560043334961, 4.227118968963623, 4.227118968963623, 3.9755752086639404, 4.22675895690918, 4.2276716232299805, 4.216422080993652, 4.216749668121338, 4.243374347686768, 4.216749668121338, 4.24370002746582, 4.118135452270508, 4.248987197875977, 4.248293399810791, 4.239259243011475, 4.238886833190918, 4.238886833190918, 4.245369911193848, 4.2423200607299805, 4.242185592651367, 4.242185592651367]"
5,"{'lr': 0.007900718154966827, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0005966500459191088}",0.19873228669166565,-0.005,0.199,0.355,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.068279266357422, 4.068269729614258, 4.068269729614258, 4.068269729614258, 4.068195819854736, 4.068270206451416, 4.068269729614258, 4.068290710449219, 4.068290710449219, 4.0682783126831055, 4.068290710449219, 4.0682783126831055, 4.068419933319092, 4.068279266357422, 4.068279266357422, 4.068277835845947, 4.068262100219727, 4.068262100219727, 4.068263053894043, 4.068262100219727, 4.06826114654541, 4.06826114654541]",-0.0,0.247,0.402,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[4.067995548248291, 4.067995548248291, 4.067906379699707, 4.067902088165283, 4.067986488342285, 4.067986488342285, 4.067986488342285, 4.067986488342285, 4.0680084228515625, 4.067995071411133, 4.068007469177246, 4.067995548248291, 4.068095684051514, 4.067995548248291, 4.068137168884277, 4.067995071411133, 4.067976951599121, 4.0679779052734375, 4.067977428436279, 4.06797981262207, 4.068037986755371]",0.24807016551494598,-0.003,0.248,0.4,"[4.849999904632568, 4.5, 3.6600000858306885, 3.0799999237060547, 3.8299999237060547, 3.9200000762939453, 4.179999828338623, 4.119999885559082, 3.25, 4.019999980926514, 3.809999942779541, 4.360000133514404, 3.549999952316284, 5.079999923706055, 4.75, 4.349999904632568, 3.869999885559082, 4.260000228881836, 4.380000114440918, 4.179999828338623, 3.509999990463257]","[4.101380348205566, 4.101380348205566, 4.101132392883301, 4.101132392883301, 4.101376533508301, 4.101376533508301, 4.101376533508301, 4.101376533508301, 4.101386547088623, 4.101380825042725, 4.101386547088623, 4.101380348205566, 4.1013641357421875, 4.101380348205566, 4.101361274719238, 4.101380825042725, 4.101377487182617, 4.101377010345459, 4.101377010345459, 4.101377010345459, 4.101388931274414]",0.0,0.198,0.353,"[4.320000171661377, 4.349999904632568, 3.799999952316284, 3.759999990463257, 2.9000000953674316, 3.880000114440918, 4.110000133514404, 3.619999885559082, 3.759999990463257, 3.9800000190734863, 3.7799999713897705, 4.090000152587891, 4.170000076293945, 4.599999904632568, 4.690000057220459, 4.590000152587891, 3.880000114440918, 3.759999990463257, 4.170000076293945, 4.349999904632568, 4.789999961853027, 4.829999923706055]","[4.101296424865723, 4.101292610168457, 4.101292610168457, 4.101292610168457, 4.101056098937988, 4.101292610168457, 4.101292610168457, 4.101302146911621, 4.101302146911621, 4.1012959480285645, 4.101302146911621, 4.101296424865723, 4.101276874542236, 4.101296424865723, 4.101296424865723, 4.1012959480285645, 4.101293087005615, 4.101293087005615, 4.101293087005615, 4.101293087005615, 4.101293087005615, 4.101293087005615]"
